acousticness;danceability;duration_ms;energy;firstartist;id;imageurl;instrumentalness;key;liveness;loudness;popularity;preview_url;speechiness;spotifyurl;tempo;time_signature;track_number;trackname;valence;event;stream
0.638;0.536;250133;0.738;John Mayer;0CETmgFGt8Ne8vLnaLcduU;https://i.scdn.co/image/ab67616d0000b2733c6bbf44de57c6eb51818694;0.446;4;0.0736;-11.02;61;https://p.scdn.co/mp3-preview/e6f6a46293c65547002370b9ab7d99d2e1f1b0bc?cid=774b29d4f13844c495f206cafdad9c86;0.031;https://open.spotify.com/track/0CETmgFGt8Ne8vLnaLcduU;83.048;4;1;Queen of California;0.707;Singsongwriter;stream a
0.628;0.507;316584;0.262;Father John Misty;4gam9ClFS6PAVp1cPYNJRq;https://i.scdn.co/image/ab67616d0000b27320ecc553cae14fbc372af4fb;0.0;0;0.0774;-10.453;26;https://p.scdn.co/mp3-preview/3487104b31c027430752c08e9b480543d42f022e?cid=774b29d4f13844c495f206cafdad9c86;0.038;https://open.spotify.com/track/4gam9ClFS6PAVp1cPYNJRq;92.229;4;11;The Memo;0.306;Singsongwriter;stream a
0.909;0.686;353947;0.172;Sufjan Stevens;1u1YU1LE0FWHFOHpR2iXua;https://i.scdn.co/image/ab67616d0000b273a7054529bcdd1ea5dcb852bc;0.00154;8;0.286;-14.979;58;https://p.scdn.co/mp3-preview/d745ef0f1b8f8488fa3aca67fec3eb2f7179c967?cid=774b29d4f13844c495f206cafdad9c86;0.0409;https://open.spotify.com/track/1u1YU1LE0FWHFOHpR2iXua;133.899;4;10;Casimir Pulaski Day;0.563;Singsongwriter;stream a
0.45;0.401;328507;0.364;Ben Howard;3CAX47TnPqTujLIQTw8nwI;https://i.scdn.co/image/ab67616d0000b27325d10f813fd1114b2bb9e39a;0.0503;5;0.162;-10.836;70;https://p.scdn.co/mp3-preview/3c0bfad67b210b359b62ce36e236fe1423088207?cid=774b29d4f13844c495f206cafdad9c86;0.033;https://open.spotify.com/track/3CAX47TnPqTujLIQTw8nwI;129.57;4;1;Old Pine;0.224;Singsongwriter;stream a
0.462;0.629;210662;0.329;Andie Case;0fvSWxiEqa5cdIJJtmQQ33;https://i.scdn.co/image/ab67616d0000b2730bb424a0ecc9170ed2c138da;0.0;9;0.237;-9.048;18;https://p.scdn.co/mp3-preview/edc47a015778cd3c5a169a7b142cbeadd2d8b6fc?cid=774b29d4f13844c495f206cafdad9c86;0.0503;https://open.spotify.com/track/0fvSWxiEqa5cdIJJtmQQ33;119.984;4;1;Youngblood - Acoustic;0.636;Pop musician;stream a
0.935;0.649;216960;0.297;We Rabbitz;01Q2xh4kJveQjONMxfapnD;https://i.scdn.co/image/ab67616d0000b27343b865a086a5bb0180fba57b;7.95e-06;4;0.101;-8.575;28;https://p.scdn.co/mp3-preview/b46950feb7a879cf0f46726d3f3321fdf31b8490?cid=774b29d4f13844c495f206cafdad9c86;0.0331;https://open.spotify.com/track/01Q2xh4kJveQjONMxfapnD;124.784;4;2;Scared To Be Lonely - Acoustic;0.246;Pop musician;stream a
0.934;0.353;184548;0.148;Alicia Keys;7rLokcIMP9p8fl0iROdVfC;https://i.scdn.co/image/ab67616d0000b2737792e47f4d41bf748001509f;0.0;7;0.112;-13.108;65;https://p.scdn.co/mp3-preview/b76aa348d30da26b41771cbfe84d0b6a0699f7db?cid=774b29d4f13844c495f206cafdad9c86;0.0421;https://open.spotify.com/track/7rLokcIMP9p8fl0iROdVfC;88.203;5;2;ocean eyes - Recorded Live at Jungle City Studios;0.297;Pop musician;stream a
0.607;0.614;258987;0.379;Ed Sheeran;1HNkqx9Ahdgi1Ixy2xkKkL;https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd;0.000464;4;0.0986;-10.48;84;https://p.scdn.co/mp3-preview/097c7b735ceb410943cbd507a6e1dfda272fd8a8?cid=774b29d4f13844c495f206cafdad9c86;0.0476;https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL;107.989;4;6;Photograph;0.201;Pop musician;stream a
0.864;0.675;150517;0.389;Flash Ki;6F2zt7QZkdQKKBul5ATSMD;https://i.scdn.co/image/ab67616d0000b273ebed2cd04e24707ba3ded2e5;0.000419;6;0.16;-11.595;12;https://p.scdn.co/mp3-preview/388ac10d0dc498f0daeb1a0ad637c5db4deda8a6?cid=774b29d4f13844c495f206cafdad9c86;0.0356;https://open.spotify.com/track/6F2zt7QZkdQKKBul5ATSMD;115.923;4;20;Get Lucky - Acoustic Version;0.415;Pop musician;stream a
0.503;0.649;255293;0.621;Maroon 5;3d7pK1CqZaj5xbIGPy85rD;https://i.scdn.co/image/ab67616d0000b273bcd15fcddc56150530087816;1.23e-05;10;0.379;-8.959;51;https://p.scdn.co/mp3-preview/9ed8790f7528f22edaed0b665fec2e63060f165a?cid=774b29d4f13844c495f206cafdad9c86;0.0559;https://open.spotify.com/track/3d7pK1CqZaj5xbIGPy85rD;91.25;4;1;This Love - Acoustic;0.674;Pop musician;stream a
