artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
0dmPX6ovclgOy8WWJaFEUU;Kraftwerk;art pop,art rock,dance rock,electro,electronic,german techno,krautrock,new romantic,new wave,synthpop;electronic;level_1,level_2;318089;57;https://open.spotify.com/artist/0dmPX6ovclgOy8WWJaFEUU;https://i.scdn.co/image/5fe2c9486ee091aaefe56570969583e20eae3485
4tZwfgrHOc3mvqYlEYSvVi;Daft Punk;electro,electronic,filter house;electronic;level_1;4844042;82;https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi;https://i.scdn.co/image/486fee1d3efda3ff7eeee2016d18f279cae9c77e
1BGN1IdyiSR0ZYrkoKNchl;Tangerine Dream;ambient,art rock,electronic,fourth world,krautrock,progressive rock,space rock,symphonic rock;electronic;level_1,level_2;107815;50;https://open.spotify.com/artist/1BGN1IdyiSR0ZYrkoKNchl;https://i.scdn.co/image/b6fdcd5f25178660296f56f291c0f7bb73eb9ac6
1GhPHrq36VKCY3ucVaZCfo;The Chemical Brothers;alternative dance,big beat,breakbeat,dance-punk,electronic,new rave,trip hop;electronic;level_1,level_2;866955;66;https://open.spotify.com/artist/1GhPHrq36VKCY3ucVaZCfo;https://i.scdn.co/image/a3e1f8a31fe86c0362c006d9a6e137e028a0d50e
5CE2IfdYZEQGIDsfiRm8SI;DJ Shadow;big beat,downtempo,electronic,hip hop,trip hop,turntablism;electronic;level_1,level_2;284533;62;https://open.spotify.com/artist/5CE2IfdYZEQGIDsfiRm8SI;https://i.scdn.co/image/a14d4f664abe56834cbcc9703dc8d3a908024990
6kBDZFXuLrZgHnvmPu9NsG;Aphex Twin;acid techno,ambient,electronic,fourth world,intelligent dance music,trip hop;electronic;level_1,level_2;402273;65;https://open.spotify.com/artist/6kBDZFXuLrZgHnvmPu9NsG;https://i.scdn.co/image/a32a5f5bf9403b084752aec85a5bc3bba1677d1c
5UjqeSp9dX6Nrge7WdDukr;Roni Size;big beat,breakbeat,drum and bass,electronic,hardcore techno,jungle,liquid funk,trip hop;electronic;level_1;37537;42;https://open.spotify.com/artist/5UjqeSp9dX6Nrge7WdDukr;https://i.scdn.co/image/608feb4a99c80b5804ed7072283c2c7ff248ccf2
1PXHzxRDiLnjqNrRn2Xbsa;Underworld;acid house,big beat,electronic,trip hop;electronic;level_1,level_2;237565;59;https://open.spotify.com/artist/1PXHzxRDiLnjqNrRn2Xbsa;https://i.scdn.co/image/6fd534efc20f8a116dfd0e9487a45178fc98cd36
3OsRAKCvk37zwYcnzRf5XF;Moby;downtempo,electronic;electronic;level_1,level_2;919104;73;https://open.spotify.com/artist/3OsRAKCvk37zwYcnzRf5XF;https://i.scdn.co/image/281cb28e84c10d260203a13ec8eb2cea7dacc4b9
4k1ELeJKT1ISyDv8JivPpB;The Prodigy;big beat,breakbeat,electronic,hardcore techno;electronic;level_1,level_2;877332;71;https://open.spotify.com/artist/4k1ELeJKT1ISyDv8JivPpB;https://i.scdn.co/image/824d7eaca66c731ef7e4dc069ad13c762c53e953
