id;artist_id;followers;genres;image_middle;name;popularity;external_urls;href;uri;level;genre_allmusic
623;2c2LlwkBwuEPvSTBDrZeZ4;1776;contemporary jazz,free improvisation,free jazz,tzadik;https://i.scdn.co/image/22af07daa8b567008b4acc139549b25ecfaef58c;Bobby Previte;24;https://open.spotify.com/artist/2c2LlwkBwuEPvSTBDrZeZ4;https://api.spotify.com/v1/artists/2c2LlwkBwuEPvSTBDrZeZ4;spotify:artist:2c2LlwkBwuEPvSTBDrZeZ4;2;avant-garde
626;0Nrfk3Kq31i6HflpP8eV3G;196;laboratorio;;Electric Masada;0;https://open.spotify.com/artist/0Nrfk3Kq31i6HflpP8eV3G;https://api.spotify.com/v1/artists/0Nrfk3Kq31i6HflpP8eV3G;spotify:artist:0Nrfk3Kq31i6HflpP8eV3G;2;avant-garde
634;2aNAAza1OIE1qrfLBlhLaV;3374;tzadik;https://i.scdn.co/image/0ea14cf08a1ab2c9b0e48b42dfcaa3fb45fddaf3;Eyvind Kang;19;https://open.spotify.com/artist/2aNAAza1OIE1qrfLBlhLaV;https://api.spotify.com/v1/artists/2aNAAza1OIE1qrfLBlhLaV;spotify:artist:2aNAAza1OIE1qrfLBlhLaV;2;avant-garde
636;0LTIwNcvI31Zf5wwFVRHyu;22745;avant-garde,avant-garde jazz,experimental,free improvisation,free jazz;https://i.scdn.co/image/6e280757a1bd5d3b7aeaa73f720485b1cf59ec58;Art Ensemble Of Chicago;30;https://open.spotify.com/artist/0LTIwNcvI31Zf5wwFVRHyu;https://api.spotify.com/v1/artists/0LTIwNcvI31Zf5wwFVRHyu;spotify:artist:0LTIwNcvI31Zf5wwFVRHyu;2;avant-garde
637;0RKzY8HLNpYPo0haH86CrN;2887;japanese experimental,laboratorio,tzadik;https://i.scdn.co/image/0dfe7f98aba7ab292a988de296495b394376d446;Ikue Mori;17;https://open.spotify.com/artist/0RKzY8HLNpYPo0haH86CrN;https://api.spotify.com/v1/artists/0RKzY8HLNpYPo0haH86CrN;spotify:artist:0RKzY8HLNpYPo0haH86CrN;2;avant-garde
638;3H6yIZ1GLpc1WV51iuyZgp;23791;avant-rock,instrumental rock,laboratorio;https://i.scdn.co/image/5e627c9bbda4fa92f7b37d6cc793bc33b6bfb881;Secret Chiefs 3;28;https://open.spotify.com/artist/3H6yIZ1GLpc1WV51iuyZgp;https://api.spotify.com/v1/artists/3H6yIZ1GLpc1WV51iuyZgp;spotify:artist:3H6yIZ1GLpc1WV51iuyZgp;2;avant-garde
639;5cCzokwZSw5IRKcm7LpRbH;11284;experimental,industrial,laboratorio;https://i.scdn.co/image/0917f13ac748c57733517812b660cec2548e792c;Jarboe;27;https://open.spotify.com/artist/5cCzokwZSw5IRKcm7LpRbH;https://api.spotify.com/v1/artists/5cCzokwZSw5IRKcm7LpRbH;spotify:artist:5cCzokwZSw5IRKcm7LpRbH;2;avant-garde
640;7KomCxZv6D5qCVvefwMnwB;133457;ebm,experimental,experimental rock,industrial,industrial rock,neue deutsche welle,post-punk;https://i.scdn.co/image/8d717f997ce5995f97907954a91ee1a1e185664c;Einstürzende Neubauten;45;https://open.spotify.com/artist/7KomCxZv6D5qCVvefwMnwB;https://api.spotify.com/v1/artists/7KomCxZv6D5qCVvefwMnwB;spotify:artist:7KomCxZv6D5qCVvefwMnwB;2;avant-garde
641;55XX7sgmxtVFNJnHrQMXh5;28868;ambient industrial,dark wave,experimental,industrial,industrial rock,neofolk;https://i.scdn.co/image/e2691079410f6b203f2660bc6080b30972f2700a;The Legendary Pink Dots;36;https://open.spotify.com/artist/55XX7sgmxtVFNJnHrQMXh5;https://api.spotify.com/v1/artists/55XX7sgmxtVFNJnHrQMXh5;spotify:artist:55XX7sgmxtVFNJnHrQMXh5;2;avant-garde
642;1UYhxPY1oqFUg1HfF8nV3k;65398;art rock,british experimental,british industrial,dance rock,experimental,experimental rock,industrial,industrial rock,laboratorio,post-punk,uk post-punk;https://i.scdn.co/image/79a079b5662469b537ae1bc8dbf00eb82a8de7f1;Throbbing Gristle;37;https://open.spotify.com/artist/1UYhxPY1oqFUg1HfF8nV3k;https://api.spotify.com/v1/artists/1UYhxPY1oqFUg1HfF8nV3k;spotify:artist:1UYhxPY1oqFUg1HfF8nV3k;2;avant-garde
643;3oi0s3WIuxBU5oh87n7za2;47391;acid house,ambient industrial,art rock,british experimental,british industrial,dance rock,dream pop,experimental,experimental rock,industrial,industrial rock,neue deutsche welle,post-punk,uk post-punk;https://i.scdn.co/image/ab6772690000dd22da1a82aacba9f2efcd41d7e2;Psychic TV;42;https://open.spotify.com/artist/3oi0s3WIuxBU5oh87n7za2;https://api.spotify.com/v1/artists/3oi0s3WIuxBU5oh87n7za2;spotify:artist:3oi0s3WIuxBU5oh87n7za2;2;avant-garde
645;7vF3DcPluq6lZI36VniagW;43394;ambient industrial,british industrial,experimental,freak folk,industrial,neofolk,post-punk;https://i.scdn.co/image/ab67616d00001e02ae92b83478ef2f7ad12343ac;Current 93;38;https://open.spotify.com/artist/7vF3DcPluq6lZI36VniagW;https://api.spotify.com/v1/artists/7vF3DcPluq6lZI36VniagW;spotify:artist:7vF3DcPluq6lZI36VniagW;2;avant-garde
646;7BqVdvWeMLlWkZAOGRPe0I;24225;british experimental,british industrial,drone,experimental,industrial,power electronics,sound collage;https://i.scdn.co/image/ab67616d00001e0214e775f6d8c09fce41c17859;Nurse With Wound;24;https://open.spotify.com/artist/7BqVdvWeMLlWkZAOGRPe0I;https://api.spotify.com/v1/artists/7BqVdvWeMLlWkZAOGRPe0I;spotify:artist:7BqVdvWeMLlWkZAOGRPe0I;2;avant-garde
647;4zn0m3hBUQVl6Nf36Sb0A6;34750;art rock,experimental,experimental rock,industrial,industrial rock,neue deutsche welle,no wave,post-punk,zolo;https://i.scdn.co/image/ab67616d00001e029b005a818f25b4c471cb2e49;Tuxedomoon;38;https://open.spotify.com/artist/4zn0m3hBUQVl6Nf36Sb0A6;https://api.spotify.com/v1/artists/4zn0m3hBUQVl6Nf36Sb0A6;spotify:artist:4zn0m3hBUQVl6Nf36Sb0A6;2;avant-garde
648;0X7nkgtJrvXcn1W8lN9Mtm;60626;art rock,experimental,experimental rock,industrial,industrial rock,no wave,outsider,post-punk,zolo;https://i.scdn.co/image/00a02569eef67ad5f83cb17898339e59f561e0ea;The Residents;39;https://open.spotify.com/artist/0X7nkgtJrvXcn1W8lN9Mtm;https://api.spotify.com/v1/artists/0X7nkgtJrvXcn1W8lN9Mtm;spotify:artist:0X7nkgtJrvXcn1W8lN9Mtm;2;avant-garde
649;1uFG5Tg7iA7wd56RchxvWw;29434;dark cabaret,experimental vocal;https://i.scdn.co/image/ab67616d00001e02501ef3336dd7f8445917118c;Klaus Nomi;37;https://open.spotify.com/artist/1uFG5Tg7iA7wd56RchxvWw;https://api.spotify.com/v1/artists/1uFG5Tg7iA7wd56RchxvWw;spotify:artist:1uFG5Tg7iA7wd56RchxvWw;2;avant-garde
651;68wK3u9MnoZj5fFOFNTfwy;58333;british industrial,dark wave,experimental,industrial,martial industrial,neoclassical darkwave,neofolk;https://i.scdn.co/image/300ac39cabadd7ce0312e50e5bd8c61241d6f353;Death In June;43;https://open.spotify.com/artist/68wK3u9MnoZj5fFOFNTfwy;https://api.spotify.com/v1/artists/68wK3u9MnoZj5fFOFNTfwy;spotify:artist:68wK3u9MnoZj5fFOFNTfwy;2;avant-garde
652;2lHpa4rwVeFbEnA0X7d0Tt;16159;ambient industrial,british experimental,british industrial,ebm,experimental,grave wave,industrial,minimal wave,post-punk,proto-techno,uk post-punk;https://i.scdn.co/image/64208c5b88323cd5c54a2991b3f009d359d086e9;Chris & Cosey;33;https://open.spotify.com/artist/2lHpa4rwVeFbEnA0X7d0Tt;https://api.spotify.com/v1/artists/2lHpa4rwVeFbEnA0X7d0Tt;spotify:artist:2lHpa4rwVeFbEnA0X7d0Tt;2;avant-garde
653;5I2hMUcztc6QbzkyLskdt4;79064;australian post-punk,dance-punk,experimental,experimental rock,gothic rock,industrial,post-punk,punk blues;https://i.scdn.co/image/5316f49c36ed463cac88df73d3ce4b9db56d3eee;The Birthday Party;38;https://open.spotify.com/artist/5I2hMUcztc6QbzkyLskdt4;https://api.spotify.com/v1/artists/5I2hMUcztc6QbzkyLskdt4;spotify:artist:5I2hMUcztc6QbzkyLskdt4;2;avant-garde
654;2kS4yz85MaZlxp2VaS3BEe;66920;ambient industrial,art rock,bleep techno,british experimental,british industrial,dance rock,ebm,experimental,experimental rock,industrial,industrial rock,new romantic,new wave,post-punk,proto-techno,synthpop,uk post-punk;https://i.scdn.co/image/47ba2136469494dd89153eb53dca120e4275a67f;Cabaret Voltaire;39;https://open.spotify.com/artist/2kS4yz85MaZlxp2VaS3BEe;https://api.spotify.com/v1/artists/2kS4yz85MaZlxp2VaS3BEe;spotify:artist:2kS4yz85MaZlxp2VaS3BEe;2;avant-garde
655;79S80ZWgVhIPMCHuvl6SkA;197126;alternative rock,art pop,art rock,dream pop,experimental,experimental rock,freak folk,industrial,industrial rock,no wave,noise rock,post-punk,post-rock;https://i.scdn.co/image/dbc8d77b80fb2090d57b4815534c89f37cf0f426;Swans;51;https://open.spotify.com/artist/79S80ZWgVhIPMCHuvl6SkA;https://api.spotify.com/v1/artists/79S80ZWgVhIPMCHuvl6SkA;spotify:artist:79S80ZWgVhIPMCHuvl6SkA;2;avant-garde
656;37KB5e6cGsN1AQAB9Omm1U;53068;ambient industrial,british experimental,british industrial,dark jazz,drone,dub metal,experimental,experimental rock,industrial,new isolationism,ritual ambient,uk experimental electronic;https://i.scdn.co/image/7aa4d01666902444c7733bf77024e38273f3aac7;Coil;41;https://open.spotify.com/artist/37KB5e6cGsN1AQAB9Omm1U;https://api.spotify.com/v1/artists/37KB5e6cGsN1AQAB9Omm1U;spotify:artist:37KB5e6cGsN1AQAB9Omm1U;2;avant-garde
657;399s62PfwKlLnrLvBjWFYB;22845;acousmatic,avant-garde,contemporary classical,free improvisation,greek contemporary classical;https://i.scdn.co/image/988d4501a2bc9c975774104589d773815fd884af;Iannis Xenakis;29;https://open.spotify.com/artist/399s62PfwKlLnrLvBjWFYB;https://api.spotify.com/v1/artists/399s62PfwKlLnrLvBjWFYB;spotify:artist:399s62PfwKlLnrLvBjWFYB;2;avant-garde
658;1zb5zmIuX2lTbzcn7YeQlg;50384;avant-garde,classical,compositional ambient,contemporary classical,hungarian contemporary classical,laboratorio;https://i.scdn.co/image/4c517586a3b2c12b06e1a9ce97ad860bf17eb94f;György Ligeti;44;https://open.spotify.com/artist/1zb5zmIuX2lTbzcn7YeQlg;https://api.spotify.com/v1/artists/1zb5zmIuX2lTbzcn7YeQlg;spotify:artist:1zb5zmIuX2lTbzcn7YeQlg;2;avant-garde
659;6nQHpfuC7mFDp6FfgOZZYA;1781;acousmatic,american contemporary classical,avant-garde,contemporary classical,free improvisation,microtonal,musique concrete;https://i.scdn.co/image/ff4ae1556c4bbc3d67e12e3a9740c08cce0c68be;James Tenney;13;https://open.spotify.com/artist/6nQHpfuC7mFDp6FfgOZZYA;https://api.spotify.com/v1/artists/6nQHpfuC7mFDp6FfgOZZYA;spotify:artist:6nQHpfuC7mFDp6FfgOZZYA;2;avant-garde
660;7IGFUlUZeXQrb9xcEAInD4;3462;acousmatic,avant-garde,contemporary classical,electroacoustic composition,laboratorio,microtonal,musique concrete,theremin;https://i.scdn.co/image/ab67616d00001e02bd7e0591a8d33c50e4dbce26;Vladimir Ussachevsky;16;https://open.spotify.com/artist/7IGFUlUZeXQrb9xcEAInD4;https://api.spotify.com/v1/artists/7IGFUlUZeXQrb9xcEAInD4;spotify:artist:7IGFUlUZeXQrb9xcEAInD4;2;avant-garde
661;6zaiVGhHTJtQfEUUDd9ORu;7090;acousmatic,avant-garde,contemporary classical,free improvisation,french contemporary classical,microtonal,musique concrete,sound art,tzadik;https://i.scdn.co/image/22a474fd4b75e8e5e4ccb4bb8b7c0ece05e4463c;Luc Ferrari;19;https://open.spotify.com/artist/6zaiVGhHTJtQfEUUDd9ORu;https://api.spotify.com/v1/artists/6zaiVGhHTJtQfEUUDd9ORu;spotify:artist:6zaiVGhHTJtQfEUUDd9ORu;2;avant-garde
662;2cuZAM4jmtKDLUOhnPbEsx;582;avant-garde,contemporary classical,contemporary classical piano;https://i.scdn.co/image/ca34d3294fea0e74604638b29c464ae831ad71cd;Steffen Schleiermacher;21;https://open.spotify.com/artist/2cuZAM4jmtKDLUOhnPbEsx;https://api.spotify.com/v1/artists/2cuZAM4jmtKDLUOhnPbEsx;spotify:artist:2cuZAM4jmtKDLUOhnPbEsx;2;avant-garde
663;6b8rrNcSgsJwZEtVroBoLb;4390;acousmatic,avant-garde,contemporary classical,electroacoustic composition,free improvisation,french contemporary classical,laboratorio,microtonal,musique concrete;https://i.scdn.co/image/a0b8e323752a99675c329bbabe42085316e82a8d;François Bayle;10;https://open.spotify.com/artist/6b8rrNcSgsJwZEtVroBoLb;https://api.spotify.com/v1/artists/6b8rrNcSgsJwZEtVroBoLb;spotify:artist:6b8rrNcSgsJwZEtVroBoLb;2;avant-garde
664;7DnLQaXsqcYkgm0nyDrB3r;53186;american contemporary classical,avant-garde,compositional ambient,contemporary classical,drone,experimental,fourth world,free jazz,microtonal,minimalism,tzadik;https://i.scdn.co/image/71d46b8676ee6e2de8a9cce53e0e62f3defe8e37;Terry Riley;41;https://open.spotify.com/artist/7DnLQaXsqcYkgm0nyDrB3r;https://api.spotify.com/v1/artists/7DnLQaXsqcYkgm0nyDrB3r;spotify:artist:7DnLQaXsqcYkgm0nyDrB3r;2;avant-garde
665;4q5mHlWMk1Owaq4rvc1KIx;973;avant-garde,contemporary classical piano,prepared piano;https://i.scdn.co/image/c37de1cb3936e8197c423799624d089cb398bc2e;Margaret Leng Tan;12;https://open.spotify.com/artist/4q5mHlWMk1Owaq4rvc1KIx;https://api.spotify.com/v1/artists/4q5mHlWMk1Owaq4rvc1KIx;spotify:artist:4q5mHlWMk1Owaq4rvc1KIx;2;avant-garde
666;5ITPNl5P6R6cFbw4DAcMAY;9188;acousmatic,avant-garde,electroacoustic composition,free improvisation,musique concrete,vintage french electronic;https://i.scdn.co/image/ab67616d00001e0284f5f5e7c8a1ab3f3a16c28d;Pierre Henry;36;https://open.spotify.com/artist/5ITPNl5P6R6cFbw4DAcMAY;https://api.spotify.com/v1/artists/5ITPNl5P6R6cFbw4DAcMAY;spotify:artist:5ITPNl5P6R6cFbw4DAcMAY;2;avant-garde
667;0lrrAVmT5y0hdM9XLDrZSv;826;avant-garde,contemporary classical piano,free improvisation;https://i.scdn.co/image/ab67616d00001e02979843c208cfc641b87803d9;John Tilbury;20;https://open.spotify.com/artist/0lrrAVmT5y0hdM9XLDrZSv;https://api.spotify.com/v1/artists/0lrrAVmT5y0hdM9XLDrZSv;spotify:artist:0lrrAVmT5y0hdM9XLDrZSv;2;avant-garde
668;2prZJWfQMnIgwUKxKcBxH7;29377;acousmatic,avant-garde,classical,classical performance,contemporary classical,orchestral performance,serialism;https://i.scdn.co/image/701129cd48f1b1a02a4262bdb214d23157d147b9;Pierre Boulez;57;https://open.spotify.com/artist/2prZJWfQMnIgwUKxKcBxH7;https://api.spotify.com/v1/artists/2prZJWfQMnIgwUKxKcBxH7;spotify:artist:2prZJWfQMnIgwUKxKcBxH7;2;avant-garde
669;7JYwa2oDNk9dibRnqLep97;4490;acousmatic,american contemporary classical,avant-garde,contemporary classical,free improvisation,microtonal,musique concrete;https://i.scdn.co/image/0b331b828227715cbef1384d8d0cfbca1f5e2a34;Robert Ashley;20;https://open.spotify.com/artist/7JYwa2oDNk9dibRnqLep97;https://api.spotify.com/v1/artists/7JYwa2oDNk9dibRnqLep97;spotify:artist:7JYwa2oDNk9dibRnqLep97;2;avant-garde
670;1FuQc9iJv3gdypigXiZ136;3730;american contemporary classical,avant-garde,classical percussion,contemporary classical,microtonal,serialism;https://i.scdn.co/image/5f2ed932e222af05e3dc86aa1230732d48799ee9;Lou Harrison;23;https://open.spotify.com/artist/1FuQc9iJv3gdypigXiZ136;https://api.spotify.com/v1/artists/1FuQc9iJv3gdypigXiZ136;spotify:artist:1FuQc9iJv3gdypigXiZ136;2;avant-garde
671;0AMoPrd9OLxMC38dQPnSQA;3809;american modern classical,avant-garde,early modern classical;https://i.scdn.co/image/6fc700cb2dfe29db13a81037a1414421bb1a4dd0;Henry Cowell;17;https://open.spotify.com/artist/0AMoPrd9OLxMC38dQPnSQA;https://api.spotify.com/v1/artists/0AMoPrd9OLxMC38dQPnSQA;spotify:artist:0AMoPrd9OLxMC38dQPnSQA;2;avant-garde
672;05BYEPhmF0YRqm7MKdu81V;5857;american contemporary classical,avant-garde,contemporary classical,laboratorio;https://i.scdn.co/image/06c7519e9b4969642342ecd6e792dcb2defa1ced;Conlon Nancarrow;35;https://open.spotify.com/artist/05BYEPhmF0YRqm7MKdu81V;https://api.spotify.com/v1/artists/05BYEPhmF0YRqm7MKdu81V;spotify:artist:05BYEPhmF0YRqm7MKdu81V;2;avant-garde
675;18zFsOC20KUzWDnvGdITar;3774;avant-garde,experimental,experimental guitar,microtonal;https://i.scdn.co/image/15bb6558dba11075cfc45c1a5ea9c670ef51cd62;Noël Akchoté;31;https://open.spotify.com/artist/18zFsOC20KUzWDnvGdITar;https://api.spotify.com/v1/artists/18zFsOC20KUzWDnvGdITar;spotify:artist:18zFsOC20KUzWDnvGdITar;2;avant-garde
676;3VoMlEsMCX6sDnTmqYL8Qp;5383;avant-garde,compositional ambient,contemporary classical,modern performance;https://i.scdn.co/image/9c00790c97bbea7dd419b1f908f06922809c43ef;Ensemble Modern;36;https://open.spotify.com/artist/3VoMlEsMCX6sDnTmqYL8Qp;https://api.spotify.com/v1/artists/3VoMlEsMCX6sDnTmqYL8Qp;spotify:artist:3VoMlEsMCX6sDnTmqYL8Qp;2;avant-garde
