artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
5K4W6rqBFWDnAN6FQUkS6x;Kanye West;pop rap,rap;rap;level_1;8863497;92;https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x;https://i.scdn.co/image/42119cbcb4d694e7f0fe4a6d684fbc63902a916d
1G9G7WwrXka3Z1r7aIDjI7;OutKast;atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop;rap;level_1;1005725;76;https://open.spotify.com/artist/1G9G7WwrXka3Z1r7aIDjI7;https://i.scdn.co/image/f695d6984ae71545fbcde883e7773bdfc908d21a
6DPYiyq5kWVQS4RGwxzPC7;Dr. Dre;g funk,gangster rap,hip hop,rap,west coast rap;rap;level_1,level_2;3892003;81;https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7;https://i.scdn.co/image/170254ebdd747f4e7045df1cae8f11a42dc1a547
7dGJo4pcD2V6oG8kP0tJRR;Eminem;detroit hip hop,g funk,hip hop,rap;rap;level_1;22546840;95;https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR;https://i.scdn.co/image/ae8dd3b01ada324eeb8c0b341e8f7ebda406095e
34EP7KEpOjXcM2TCat1ISk;Wu-Tang Clan;east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap;rap;level_1,level_2;1165321;72;https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk;https://i.scdn.co/image/708d42342aa9b34675596e4e5d1e44c956f1127a
5hQCwevTf03u1rECrRMeop;Grandmaster Flash & The Furious Five;electro,hip hop,old school hip hop;rap;level_1;54100;50;https://open.spotify.com/artist/5hQCwevTf03u1rECrRMeop;https://i.scdn.co/image/3db8b56133ee8d37d8bae810b195705908e986ea
3nFkdlSjzX9mRTtwJOzDYB;JAY Z;bulgarian hip hop,east coast hip hop,gangster rap,hip hop,pop rap,rap;rap;level_1,level_2;4294694;83;https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB;https://i.scdn.co/image/4322471792c2ea1cad6c74eeb69ee9e7d01fe2dc
5me0Irg2ANcsgc93uaYrpb;The Notorious B.I.G.;east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap;rap;level_1,level_2;3293396;80;https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb;https://i.scdn.co/image/9bb42de208edcb69653a8e7951fa93b13f598cdd
1ZwdS5xdxEREPySFridCfh;2Pac;g funk,gangster rap,hip hop,pop rap,rap,west coast rap;rap;level_1;5225148;82;https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh;https://i.scdn.co/image/e92cf49011e4c26f736cd479b0b64cb08f1b52c6
2wIVse2owClT7go1WT98tk;Missy Elliott;dance pop,hip hop,hip pop,pop,pop rap,r&b,rap,southern hip hop,urban contemporary;rap;level_1;910568;76;https://open.spotify.com/artist/2wIVse2owClT7go1WT98tk;https://i.scdn.co/image/2642935f38deb4f2305cabfd996babec8796d469
03r4iKL2g2442PT9n2UKsx;Beastie Boys;alternative rock,east coast hip hop,hip hop,old school hip hop,rap;rap;level_1;1112506;71;https://open.spotify.com/artist/03r4iKL2g2442PT9n2UKsx;https://i.scdn.co/image/060ef251f0e12353057c36fe94724b688b963dac
7cg61q8kK8jlFi8TKKw70p;Afrika Bambaataa;east coast hip hop,old school hip hop;rap;level_1;55806;43;https://open.spotify.com/artist/7cg61q8kK8jlFi8TKKw70p;https://i.scdn.co/image/396cf22345367115d5fe631fe01800a404ec14f2
1HwM5zlC5qNWhJtM00yXzG;DMX;east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap,southern hip hop;rap;level_1,level_2;1177223;73;https://open.spotify.com/artist/1HwM5zlC5qNWhJtM00yXzG;https://i.scdn.co/image/8bf081adcfb9eb259fca3f0bd00b848153982d64
4toEjJSZu1rbfX2hfVdZFA;Boogie Down Productions;conscious hip hop,east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,old school hip hop,rap,turntablism;rap;level_1,level_2;112414;45;https://open.spotify.com/artist/4toEjJSZu1rbfX2hfVdZFA;https://i.scdn.co/image/bbd15ff9f3c5a9b736698b562b4b0abbe942654d
6jHG1YQkqgojdEzerwvrVv;Eric B. & Rakim;alternative hip hop,bboy,east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,old school hip hop,pop rap,rap,southern hip hop,turntablism;rap;level_1,level_2;241879;56;https://open.spotify.com/artist/6jHG1YQkqgojdEzerwvrVv;https://i.scdn.co/image/b731704e1ebed00801a0f8daa3323881680cf36f
1P8IfcNKwrkQP5xJWuhaOC;LL Cool J;dirty south rap,east coast hip hop,hardcore hip hop,hip hop,hip pop,new jack swing,old school hip hop,pop rap,r&b,rap,southern hip hop,urban contemporary;rap;level_1,level_2;619361;65;https://open.spotify.com/artist/1P8IfcNKwrkQP5xJWuhaOC;https://i.scdn.co/image/cc247428a7113aae7e87a0da4fc2c9662429e77b
