artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
3QZKZBEmr54lAVI5XvmjnM;The Coasters;adult standards,brill building pop,christmas,doo-wop,motown,rhythm and blues,rock-and-roll,rockabilly,soul;rnb;level_1,level_2;80130;53;https://open.spotify.com/artist/3QZKZBEmr54lAVI5XvmjnM;https://i.scdn.co/image/93049901e1e8c4851c1dec4d29972ea1c21b6ea9
7guDJrEfX3qb6FEbdPA5qi;Stevie Wonder;adult standards,boston hardcore,motown,quiet storm,soul;rnb;level_1,level_2;3159487;79;https://open.spotify.com/artist/7guDJrEfX3qb6FEbdPA5qi;https://i.scdn.co/image/37c7875911b1d8195b05d40061a86bd01908a0d9
6hnWRPzGGKiapVX1UCdEAC;Sam Cooke;adult standards,brill building pop,christmas,classic soul,rock-and-roll,soul,southern soul;rnb;level_1,level_2;735854;70;https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC;https://i.scdn.co/image/805b0b6c33c461180b8aa9d2ae7aaaf24b3ffb70
4QQgXkCYTt3BlENzhyNETg;Earth, Wind & Fire;disco,funk,jazz funk,motown,quiet storm,soul;rnb;level_1,level_2;1477744;75;https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg;https://i.scdn.co/image/82b1b00bee789f4fefb07756f4d54c411a899e76
4qwGe91Bz9K2T8jXTZ815W;Janet Jackson;dance pop,hip pop,motown,neo soul,pop,r&b,urban contemporary;rnb;level_1,level_2;1283093;70;https://open.spotify.com/artist/4qwGe91Bz9K2T8jXTZ815W;https://i.scdn.co/image/3de280e4c4e78b21e10509bd6973e3ea16406e20
438JBZR1AR0l04AzcYW9gy;Harold Melvin & The Blue Notes;classic soul,disco,funk,motown,quiet storm,soul,southern soul;rnb;level_1,level_2;176330;58;https://open.spotify.com/artist/438JBZR1AR0l04AzcYW9gy;https://i.scdn.co/image/cd987e94cf5116aacd7c83c2f553ebaf99e05596
53QzNeFpzAaXYnrDBbDrIp;The Isley Brothers;classic soul,disco,funk,motown,quiet storm,soul,southern soul;rnb;level_1,level_2;670935;66;https://open.spotify.com/artist/53QzNeFpzAaXYnrDBbDrIp;https://i.scdn.co/image/62f9b158515a831f01e2811911e5d454c5c604d4
09C0xjtosNAIXP36wTnWxd;Fats Domino;adult standards,brill building pop,christmas,louisiana blues,lounge,new orleans blues,piano blues,rhythm and blues,rock-and-roll,rockabilly,soul;rnb;level_1,level_2;189270;58;https://open.spotify.com/artist/09C0xjtosNAIXP36wTnWxd;https://i.scdn.co/image/87c3cd1c4917dc6961fafa5b679fafc7c00cb1eb
3dkbV4qihUeMsqN4vBGg93;Al Green;classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul;rnb;level_1,level_2;981614;69;https://open.spotify.com/artist/3dkbV4qihUeMsqN4vBGg93;https://i.scdn.co/image/6df201e877205c39bebe4c420f3b2ef84ad66b17
1b1N51wmSK0ckxFAMPSSHO;The Impressions;brill building pop,chicago soul,classic soul,funk,motown,quiet storm,rhythm and blues,soul;rnb;level_1,level_2;102712;53;https://open.spotify.com/artist/1b1N51wmSK0ckxFAMPSSHO;https://i.scdn.co/image/3b3892f95f1809f7d7f205f6973e4cc86c6caefe
6KWcxMWVNVIYbdOQyJtsSy;The Platters;adult standards,brill building pop,christmas,doo-wop,easy listening,folk rock,lounge,rock-and-roll,rockabilly,vocal jazz;rnb;level_1,level_2;228439;67;https://open.spotify.com/artist/6KWcxMWVNVIYbdOQyJtsSy;https://i.scdn.co/image/5296ef4ecc171e4fa92c0bd6f22f3ee3474e6c8f
3RwQ26hR2tJtA8F9p2n7jG;The Temptations;brill building pop,christmas,classic soul,disco,funk,memphis soul,motown,soul;rnb;level_1,level_2;1158677;71;https://open.spotify.com/artist/3RwQ26hR2tJtA8F9p2n7jG;https://i.scdn.co/image/3b044b58120d24af5c090f322e9cf6381a09f1ab
38h03gA85YYPeDPd9ER9rT;The O'Jays;classic soul,disco,funk,motown,post-disco,quiet storm,soul,southern soul,urban contemporary;rnb;level_1,level_2;416849;62;https://open.spotify.com/artist/38h03gA85YYPeDPd9ER9rT;https://i.scdn.co/image/560bb7a310c7440dc8727fc9f26de7df49c15c58
3rfgbfpPSfXY40lzRK7Syt;Barry White;adult standards,disco,motown,quiet storm,soul;rnb;level_1;635672;67;https://open.spotify.com/artist/3rfgbfpPSfXY40lzRK7Syt;https://i.scdn.co/image/d04ae222146d052fbbe9ed2598c1c3319d4e7ebc
1FqqOl9itIUpXr4jZPIVoT;The Drifters;adult standards,brill building pop,bubblegum pop,christmas,folk rock,lounge,mellow gold,motown,rhythm and blues,rock-and-roll,rockabilly,soul;rnb;level_1,level_2;182420;64;https://open.spotify.com/artist/1FqqOl9itIUpXr4jZPIVoT;https://i.scdn.co/image/3361d8c88dc781f3a76657778454051db42e6d9e
6TKOZZDd5uV5KnyC5G4MUt;Smokey Robinson & The Miracles;adult standards,brill building pop,christmas,classic soul,disco,funk,motown,quiet storm,rhythm and blues,soul,southern soul;rnb;level_1,level_2;463138;62;https://open.spotify.com/artist/6TKOZZDd5uV5KnyC5G4MUt;https://i.scdn.co/image/002d7d3a611aaf4a1aa75cdb3b06e186f7698242
0Xf8oDAJYd2D0k3NLI19OV;CHIC;disco,funk,motown,post-disco,quiet storm,soul;rnb;level_1,level_2;274520;66;https://open.spotify.com/artist/0Xf8oDAJYd2D0k3NLI19OV;https://i.scdn.co/image/4028b0683562da7e0df09d7722dd9b6174c0df9b
4EYVgfZJ8wKXWmIvCx3gOY;Ruth Brown;jazz blues,jump blues,rhythm and blues,rock-and-roll,soul,southern soul;rnb;level_1;16794;40;https://open.spotify.com/artist/4EYVgfZJ8wKXWmIvCx3gOY;https://i.scdn.co/image/0ed3ea5630f219da5076bf658c2fa7f4390c2f4f
2BVYdY4PyfCF9z4NrkhEB2;Sam & Dave;brill building pop,classic soul,funk,memphis soul,motown,rock-and-roll,soul,southern soul;rnb;level_1,level_2;134721;60;https://open.spotify.com/artist/2BVYdY4PyfCF9z4NrkhEB2;https://i.scdn.co/image/a3cefb27c2aad573e4dae048effaa9cae6af7268
57bUPid8xztkieZfS7OlEV;The Supremes;adult standards,brill building pop,christmas,classic girl group,classic soul,disco,folk rock,funk,motown,quiet storm,soul;rnb;level_1,level_2;731828;68;https://open.spotify.com/artist/57bUPid8xztkieZfS7OlEV;https://i.scdn.co/image/94d9da3ab43ce4cbf936d9bd7274038b35b71e84
60df5JBRRPcnSpsIMxxwQm;Otis Redding;christmas,classic soul,funk,memphis soul,soul,soul blues,southern soul;rnb;level_1,level_2;1201551;72;https://open.spotify.com/artist/60df5JBRRPcnSpsIMxxwQm;https://i.scdn.co/image/a5897eff01844c42d894a586e618ebc4aa0b9d2f
