acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.985,0.231,411107,0.0425,Robert Johnson,195Iyhvnre5qNJzHhVcMnQ,https://i.scdn.co/image/6d5541569207a7223e3f13c71df0476bf2339004,0.608,2,0.0898,-22.539,7,,0.0428,https://open.spotify.com/track/195Iyhvnre5qNJzHhVcMnQ,135,4,4,Care-charming sleep (1st version),0.0546,2089450.1178626544,1.0,3307.0
0.985,0.299,182933,0.0254,Benedetto Ferrari,15nrzfQWGgeydN58g11Bac,https://i.scdn.co/image/6d5541569207a7223e3f13c71df0476bf2339004,0.000273,0,0.0922,-25.605,2,,0.0485,https://open.spotify.com/track/15nrzfQWGgeydN58g11Bac,66,3,3,Già più volte tremante,0.0769,1975336.7723708889,2.0,3306.0
0.987,0.206,127880,0.00379,Chihei Hatakeyama,4sfORtxIQnO42AJpNy8Gsq,https://i.scdn.co/image/79a2ba23c812db3532a07a8f9022189827bb1aa0,0.989,2,0.0975,-27.297,33,https://p.scdn.co/mp3-preview/ee820b89fa74542fd85f181e3d8bf6b33adbbb63?cid=f715962b546a41029c80979d6042ad77,0.047,https://open.spotify.com/track/4sfORtxIQnO42AJpNy8Gsq,68,3,9,White Light,0.0717,1937670.6142034803,3.0,3305.0
0.988,0.194,454933,0.028,Meredith Monk,17R2bhPDYcG2feUojsn6cT,https://i.scdn.co/image/308fedef9b29de954c8116e966190a3104f49b0e,0.0943,8,0.1,-23.993,32,,0.0407,https://open.spotify.com/track/17R2bhPDYcG2feUojsn6cT,126,4,14,Earth Seen From Above,0.0335,1669947.2639319396,4.0,3304.0
0.988,0.234,253893,0.0138,Harold Budd,75Q2oWlmhsTiM9KTbjyduU,https://i.scdn.co/image/b3dd8b6d55eca93f61c63ee5d88edac572fee4a0,0.83,8,0.106,-30.699,60,,0.0487,https://open.spotify.com/track/75Q2oWlmhsTiM9KTbjyduU,91,4,3,The Plateaux Of Mirror - 2004 Digital Remaster,0.0344,1646803.7535166943,5.0,3303.0
0.99,0.217,319373,0.008329999999999999,Annea Lockwood,3PMXNMy8uSsHjZOPwpkMxV,https://i.scdn.co/image/9562fe32448211144bed528f7f4200937325ccb8,0.8220000000000001,3,0.104,-33.986,3,https://p.scdn.co/mp3-preview/f3849c64c3ce3237840da6b62dc48bf047a86964?cid=f715962b546a41029c80979d6042ad77,0.0431,https://open.spotify.com/track/3PMXNMy8uSsHjZOPwpkMxV,68,3,1,Thousand Year Dreaming: Breathing & Dreaming,0.0341,1521834.876475918,6.0,3302.0
0.992,0.196,138427,0.00687,Harold Budd,4KyJQKAFvEH4F52qSMuwIF,https://i.scdn.co/image/c7c1909e45f2bfea2ef021ae423f043afb8d36f0,0.917,7,0.106,-34.255,66,,0.0442,https://open.spotify.com/track/4KyJQKAFvEH4F52qSMuwIF,72,4,4,Olancha Farewell,0.053,1436809.4982151154,7.0,3301.0
0.984,0.16699999999999998,228578,0.0174,Chihei Hatakeyama,1yC5ZxdbyrwZrcPaBPtm4Y,https://i.scdn.co/image/7e9fdac205842bd9033f4b1f839e27c1c03624e0,0.966,10,0.0976,-28.777,48,https://p.scdn.co/mp3-preview/61e95a7a0dd8124bb372d9b6e8683c7e9dc81b6e?cid=f715962b546a41029c80979d6042ad77,0.0484,https://open.spotify.com/track/1yC5ZxdbyrwZrcPaBPtm4Y,68,3,1,Sad Ocean,0.0337,1390568.586982264,8.0,3300.0
0.992,0.312,136958,0.0179,Jeroen van Veen,2gilkiRCMP1h3ssYuRP6Bq,https://i.scdn.co/image/3202e597d6ff49e53f474323a42e3dd5c91b4b18,0.933,0,0.112,-20.878,35,https://p.scdn.co/mp3-preview/4400c4a6d876b40f6f387818826a760ea0f4aca3?cid=f715962b546a41029c80979d6042ad77,0.0465,https://open.spotify.com/track/2gilkiRCMP1h3ssYuRP6Bq,81,3,8,La dispute,0.0799,1334000.8165945874,9.0,3299.0
0.984,0.227,288307,0.00106,Philip Glass,7bYwm4LQaOsardfDdbVZg6,https://i.scdn.co/image/2c44ceaeeca95544a11b60e357f1d4fe3d9ac297,0.95,5,0.0961,-40.607,47,https://p.scdn.co/mp3-preview/2fa0297ff204e79e3e84003efb2bdd591c14b389?cid=f715962b546a41029c80979d6042ad77,0.0446,https://open.spotify.com/track/7bYwm4LQaOsardfDdbVZg6,75,4,5,Six Etudes for Piano - q = 96,0.0357,1269150.1524019556,10.0,3298.0
0.985,0.14400000000000002,238307,0.023,György Ligeti,5PtmAQ3m2jxhUkDVFQAJag,https://i.scdn.co/image/6e3d929e17e08f7dfc14b039780ebc2379ce0948,0.901,5,0.0908,-24.469,49,https://p.scdn.co/mp3-preview/283825ccd508b5825e099def9c027976d1d455b0?cid=f715962b546a41029c80979d6042ad77,0.0463,https://open.spotify.com/track/5PtmAQ3m2jxhUkDVFQAJag,94,4,1,Cello Sonata: I. Dialogo,0.132,1233392.8759783374,11.0,3297.0
0.985,0.189,359400,0.0101,Archie Shepp,1nzVCTGAudQZrsvRjKKK0g,https://i.scdn.co/image/5741be3e71b53702c06ffc7a7e4504786e4b48db,0.00469,0,0.114,-23.269,18,https://p.scdn.co/mp3-preview/9300578cf7df48b0bb939594f2075160614a840f?cid=f715962b546a41029c80979d6042ad77,0.0409,https://open.spotify.com/track/1nzVCTGAudQZrsvRjKKK0g,80,3,3,There Is A Balm In Gilead,0.0822,1233316.6318770372,12.0,3296.0
0.983,0.209,612533,0.00436,Al Gromer Khan,7jf21gWBZ1AeYrNh83izLU,https://i.scdn.co/image/b62f24be901d9662c5164a192f7af4f3834c1c65,0.857,0,0.0998,-34.176,22,https://p.scdn.co/mp3-preview/3ae169be46ba6096b31dc30bf4bce6cb5683d964?cid=f715962b546a41029c80979d6042ad77,0.0443,https://open.spotify.com/track/7jf21gWBZ1AeYrNh83izLU,61,4,4,Silent Voice,0.0338,1216293.624551644,13.0,3295.0
0.989,0.22,63867,0.0512,David Behrman,4MdcUJvtJKe7TDYoRaVmXb,https://i.scdn.co/image/7a978006a99c9b209338cc4260e545a8cd210fff,0.835,7,0.0785,-23.172,5,https://p.scdn.co/mp3-preview/38c7d3ab264111f9788ef79ec57aa065849aecf7?cid=f715962b546a41029c80979d6042ad77,0.0433,https://open.spotify.com/track/4MdcUJvtJKe7TDYoRaVmXb,99,4,5,Refractive Light / Harbinger,0.0352,1207128.543270333,14.0,3294.0
0.989,0.155,232779,0.008459999999999999,Matt Borghi,4bq1AKH1O2cUAT53W8q4Xz,https://i.scdn.co/image/eb42fbe13b10fb0bac7ef802aa34fbcfda40f32b,0.931,2,0.1,-26.527,15,https://p.scdn.co/mp3-preview/f60d10fc2959a6f9364380b9d7c366ea4a9511a3?cid=f715962b546a41029c80979d6042ad77,0.0508,https://open.spotify.com/track/4bq1AKH1O2cUAT53W8q4Xz,55,3,1,A Further Journey,0.0754,1157122.7668389443,15.0,3293.0
0.989,0.166,517627,0.048,Vladimir Ussachevsky,3V11TFV7L3qHcz9QQOmcOw,https://i.scdn.co/image/af6485e6a21e6909a01efe3e701d2bb796c706d0,0.00338,8,0.0832,-23.608,1,https://p.scdn.co/mp3-preview/a4fbc0a44ad6e6bb17281100e66c6bbb3c25c60d?cid=f715962b546a41029c80979d6042ad77,0.0422,https://open.spotify.com/track/3V11TFV7L3qHcz9QQOmcOw,76,1,8,Three Scenes From The Creation: I. Prologue: Enuma Elish,0.0339,1139610.7683896634,16.0,3292.0
0.99,0.202,461587,0.0313,Mary Ellen Childs,0a8QYs8ys1WWIBStX3zvlX,https://i.scdn.co/image/d492ba1089c7d2b55f1a3f4d410a189c5fe609c1,0.381,7,0.0764,-20.482,0,https://p.scdn.co/mp3-preview/1f06a04166fa9c24f3a9052dab8540077f396fb5?cid=f715962b546a41029c80979d6042ad77,0.04,https://open.spotify.com/track/0a8QYs8ys1WWIBStX3zvlX,67,4,2,Parterre (version for recorder quartet),0.11,1123943.2650702524,17.0,3291.0
0.991,0.23,281680,0.0432,Grouper,3IL43TRkEnh4buGOZ1Brb5,https://i.scdn.co/image/f16e4f70f589972be8a5cbda8c370bb3339f202d,0.932,6,0.105,-23.066,47,https://p.scdn.co/mp3-preview/e670eb8ac3dc3bc2a9ab1733d63490d887fe5790?cid=f715962b546a41029c80979d6042ad77,0.042,https://open.spotify.com/track/3IL43TRkEnh4buGOZ1Brb5,90,4,2,Clearing,0.136,1110583.0379635792,18.0,3290.0
0.991,0.191,385107,0.0062,Bruce Brubaker,5oGc3vAHn2LQI17rMn1znd,https://i.scdn.co/image/eba83479ea1b346cc81dc8dad4ff3995569e0c04,0.919,9,0.0774,-26.609,38,https://p.scdn.co/mp3-preview/387f26c408de1974b530756490bfa79df8c6453c?cid=f715962b546a41029c80979d6042ad77,0.0445,https://open.spotify.com/track/5oGc3vAHn2LQI17rMn1znd,65,4,4,Metamorphosis: Metamorphosis Two - Metamorphosis Two,0.0406,1093899.5355067863,19.0,3289.0
0.985,0.157,370400,0.0374,Arnold Schoenberg,6gVSZnQNzZueXRDyOQfHsN,https://i.scdn.co/image/2d3b311c6f48e0ed27046f44deb4fc8cf298f28d,0.925,0,0.107,-23.994,43,https://p.scdn.co/mp3-preview/4d69b9cf7e2469228d6cee44e1833c2271b6cc74?cid=f715962b546a41029c80979d6042ad77,0.0389,https://open.spotify.com/track/6gVSZnQNzZueXRDyOQfHsN,143,4,1,"Weihnachtsmusik for 2 Violins, Cello, Harmonium and Piano",0.0762,1088147.1340112295,20.0,3288.0
0.992,0.337,785184,0.0386,Lee Hyla,10WTpgdQou71UrcreRFjjj,https://i.scdn.co/image/ea3bbcb14a4ebd5fc3afea7ada1b4cebc325c937,0.828,7,0.1,-17.619,1,https://p.scdn.co/mp3-preview/f2260c2591bbb84c72406ff1dc7bfe6d6531b8f5?cid=f715962b546a41029c80979d6042ad77,0.0462,https://open.spotify.com/track/10WTpgdQou71UrcreRFjjj,71,4,1,Paradigm Lost,0.0379,1076071.3112341042,21.0,3287.0
0.986,0.138,532654,0.0394,Numina,7chGcZCiLeNDeQBaDvJLks,https://i.scdn.co/image/39dcd1b8c81390bae9960cb09f68ec1ae696837d,0.974,0,0.11,-25.282,13,https://p.scdn.co/mp3-preview/2a261b8d499c466b7f281664b39b515f233e0af2?cid=f715962b546a41029c80979d6042ad77,0.0426,https://open.spotify.com/track/7chGcZCiLeNDeQBaDvJLks,142,4,2,A Day Without Time,0.0301,1072250.073497135,22.0,3286.0
0.984,0.21,985640,0.0336,Michael Gordon,2LU85YHIQJBRWv12CkMC2d,https://i.scdn.co/image/1a405d401cc875f314f1d9c788e8c377472046ae,0.852,2,0.109,-17.326,21,https://p.scdn.co/mp3-preview/d7c3dd02381389297ffae375c56acae8493b6d90?cid=f715962b546a41029c80979d6042ad77,0.0391,https://open.spotify.com/track/2LU85YHIQJBRWv12CkMC2d,82,4,1,1/1 (arr. M. Gordon),0.0349,1031058.4353512323,23.0,3285.0
0.988,0.276,173000,0.00545,Toshi Ichiyanagi,3Tmsxlb1cPaEKsoFq2K4fk,https://i.scdn.co/image/1bbff661fecd19bf34a1b7df3554cb7c71667f84,0.7240000000000001,0,0.101,-36.13800000000001,11,https://p.scdn.co/mp3-preview/8f4760c4b539c75305ee346f65d98d350300ac65?cid=f715962b546a41029c80979d6042ad77,0.0402,https://open.spotify.com/track/3Tmsxlb1cPaEKsoFq2K4fk,79,4,2,Cloud Atlas: I. Andante con moto,0.122,982102.7079757326,24.0,3284.0
0.99,0.275,227347,0.037000000000000005,Ned Rothenberg,0BjzzajYvpe3dQmcyIKSQv,https://i.scdn.co/image/cd7f9abd03923dcf2ff1962b3922ffaa8ab4c6af,0.135,10,0.108,-22.246,7,https://p.scdn.co/mp3-preview/1b92ae5cb21a72397c616cdc8194d6f1dd212379?cid=f715962b546a41029c80979d6042ad77,0.0384,https://open.spotify.com/track/0BjzzajYvpe3dQmcyIKSQv,76,4,3,Shudder to Think,0.0395,940776.9307421809,25.0,3283.0
0.991,0.237,212000,0.0631,Grouper,4AOl8fZE2eTR6vocAYxqP4,https://i.scdn.co/image/21aada158152150ef238f696294e3ccf3fda546e,0.903,6,0.112,-17.895,41,https://p.scdn.co/mp3-preview/b107a6db464e623b69b4de466b185f31d04cefb3?cid=f715962b546a41029c80979d6042ad77,0.0438,https://open.spotify.com/track/4AOl8fZE2eTR6vocAYxqP4,118,3,2,Parking Lot,0.0766,930280.1815286664,26.0,3282.0
0.992,0.16699999999999998,165307,0.0212,Camille Saint-Saëns,5Aa3InQJHLUtSvTDtXXMsW,https://i.scdn.co/image/fbb1cc002d34816e7f6f22062e70dd76b22e9791,0.902,7,0.0711,-31.693,36,,0.0437,https://open.spotify.com/track/5Aa3InQJHLUtSvTDtXXMsW,130,4,13,"Le Carnaval des Animaux, R. 125: 13. Le Cygne",0.0418,927629.8163221149,27.0,3281.0
0.995,0.173,296667,0.0143,Jeff Pearce,2YX1JF6dLBcYr3lAGB351Y,https://i.scdn.co/image/9f385fd40b33c23261361ba28f3320dd8e438be3,0.968,0,0.0903,-32.412,10,https://p.scdn.co/mp3-preview/e373f5e120c4d988de390cf996149111a2265cba?cid=f715962b546a41029c80979d6042ad77,0.0473,https://open.spotify.com/track/2YX1JF6dLBcYr3lAGB351Y,70,4,3,On Silent Paths,0.0389,914557.1710339854,28.0,3280.0
0.993,0.322,139320,0.0269,Gunther Schuller,7xs03xbrTdHqJ6T6yY0UUB,https://i.scdn.co/image/902480f7b3d15b4306dc7404ee2dc57aa4711a50,0.867,2,0.11,-26.652,3,https://p.scdn.co/mp3-preview/7e9f52cefb616bb28d60c7cd60d63ad89d6eba3f?cid=f715962b546a41029c80979d6042ad77,0.0499,https://open.spotify.com/track/7xs03xbrTdHqJ6T6yY0UUB,71,4,4,Suite for Wind Quintet: I. Prelude,0.0596,887923.1352774794,29.0,3279.0
0.98,0.152,326933,0.0335,Vladimir Ussachevsky,1XkxpqTRa8ICAOEqmC2uAO,https://i.scdn.co/image/af6485e6a21e6909a01efe3e701d2bb796c706d0,0.934,0,0.094,-30.114,5,https://p.scdn.co/mp3-preview/87ff30dad1d03f74baedf80d76b93d04d755e40f?cid=f715962b546a41029c80979d6042ad77,0.0461,https://open.spotify.com/track/1XkxpqTRa8ICAOEqmC2uAO,71,3,1,Metamorphosis,0.0329,886046.6425148143,30.0,3278.0
0.984,0.269,192253,0.0344,Philip Glass,4AUjEDqoGjB0T5XyleU1Xu,https://i.scdn.co/image/a675cb69334f0167f1347cdd5ef13446f25d2b4f,0.872,7,0.114,-23.768,51,https://p.scdn.co/mp3-preview/46066d4f536a239dd583b2c963a705953d07267d?cid=f715962b546a41029c80979d6042ad77,0.0392,https://open.spotify.com/track/4AUjEDqoGjB0T5XyleU1Xu,99,3,11,Tissue No. 7,0.0354,871269.2207205227,31.0,3277.0
0.994,0.233,197317,0.00333,Roger Eno,47RzB3VtTtKzpXqIYz4BVu,https://i.scdn.co/image/8c7c35c6102d345b6381de242b0fb7e999c0c6d5,0.897,10,0.0987,-22.416,15,https://p.scdn.co/mp3-preview/5773ffc915f86d6486ccaa7d87dbd3bdda48094e?cid=f715962b546a41029c80979d6042ad77,0.0409,https://open.spotify.com/track/47RzB3VtTtKzpXqIYz4BVu,76,1,1,Stasis Affected,0.0528,856986.6430082135,32.0,3276.0
0.981,0.254,429002,0.00822,Philip Glass,7uTyDwZOpODAIIWpkyX678,https://i.scdn.co/image/5d542575a2b77728015377295b15b62dac932f2d,0.933,9,0.0977,-29.216,35,https://p.scdn.co/mp3-preview/cb435b61645135c62e6cf45f2dc1dd8f0b797363?cid=f715962b546a41029c80979d6042ad77,0.0495,https://open.spotify.com/track/7uTyDwZOpODAIIWpkyX678,112,4,3,Metamorphosis 2,0.0363,847438.7454835641,33.0,3275.0
0.989,0.205,492013,0.0315,Wolfgang Amadeus Mozart,16N8VFk00FsPJvaoJjbHxU,https://i.scdn.co/image/ddafd63fb070e62e37e147b962c4186e57bb64f0,0.92,3,0.119,-29.048,4,,0.0381,https://open.spotify.com/track/16N8VFk00FsPJvaoJjbHxU,91,4,5,"Piano Concerto No.24 In C Minor, K.491: 2. Larghetto",0.0967,847149.618534732,34.0,3274.0
0.987,0.145,369000,0.00217,Morton Feldman,6UW1xOaGuCdHwDSDFBhGCZ,https://i.scdn.co/image/5bda20bba1834d67daf0c842d420c37fcdf88f14,0.937,3,0.0784,-38.239,9,https://p.scdn.co/mp3-preview/cddec65a72dd8ec3cb0721588351cf0aa2bdcab4?cid=f715962b546a41029c80979d6042ad77,0.046,https://open.spotify.com/track/6UW1xOaGuCdHwDSDFBhGCZ,70,5,1,Three Voices: (1),0.0344,817751.2640859106,35.0,3273.0
0.991,0.344,78600,0.00306,Esa-Pekka Salonen,6PKzGPCKMz3lLcnzpUKywn,https://i.scdn.co/image/053ce12a5692c00b552244727510a9d9707215e9,0.35700000000000004,6,0.0879,-29.579,23,https://p.scdn.co/mp3-preview/428425d8503152c25c34a8481b0bb32b2f5bfb78?cid=f715962b546a41029c80979d6042ad77,0.0474,https://open.spotify.com/track/6PKzGPCKMz3lLcnzpUKywn,129,5,11,Nachtlieder: I. Sehr innig,0.0572,796399.2990086976,36.0,3272.0
0.982,0.149,344667,0.00891,John Hollenbeck,7dlvfAyYDXwuaGedozPwzL,https://i.scdn.co/image/71591b17b5d587571dc49376e034e60f82bc043c,0.85,6,0.103,-22.673,3,https://p.scdn.co/mp3-preview/f663b3fd22ebdd1c019622a7b7ac5e9469c46ab7?cid=f715962b546a41029c80979d6042ad77,0.0477,https://open.spotify.com/track/7dlvfAyYDXwuaGedozPwzL,104,4,3,Love Song for Kate,0.125,765758.1933183771,37.0,3271.0
0.995,0.228,163000,0.00385,Harold Budd,4VH3rKj1tmhUZtX3U43jBq,https://i.scdn.co/image/c2dae8aa9141c3bfcd24d1521aa482cec051513e,0.917,9,0.0858,-35.213,64,https://p.scdn.co/mp3-preview/f9f00efa0d95d2db76f1a95a518f5f0df0520b59?cid=f715962b546a41029c80979d6042ad77,0.0449,https://open.spotify.com/track/4VH3rKj1tmhUZtX3U43jBq,141,3,2,The Whispers,0.117,753117.7772424925,38.0,3270.0
0.992,0.342,232440,0.0314,Harold Budd,6vo5a9n1HWYroioj7k6gZS,https://i.scdn.co/image/f6f10178e7ae2cd6e091b807683d3eabe4948249,0.906,3,0.0767,-25.319000000000006,60,,0.0439,https://open.spotify.com/track/6vo5a9n1HWYroioj7k6gZS,100,4,9,Foreshadowed - 2005 Digital Remaster,0.117,745167.155537348,39.0,3269.0
0.995,0.165,374952,0.0147,Chihei Hatakeyama,6hOI48HzMpRvS1woOc1pSf,https://i.scdn.co/image/3b676fe103b9dfaebbaed895e3765163ca2a19ed,0.977,5,0.0806,-28.886,48,https://p.scdn.co/mp3-preview/eea83cf4db745ed25488bd61398f7f2e0411e579?cid=f715962b546a41029c80979d6042ad77,0.0443,https://open.spotify.com/track/6hOI48HzMpRvS1woOc1pSf,133,4,7,door to the cosmos,0.0336,718101.6833534392,40.0,3268.0
0.981,0.19,136400,0.00919,Camille Saint-Saëns,5Un9h6xPqnHSvguexXnbEg,https://i.scdn.co/image/fbb1cc002d34816e7f6f22062e70dd76b22e9791,0.978,10,0.075,-37.166,27,,0.0415,https://open.spotify.com/track/5Un9h6xPqnHSvguexXnbEg,124,4,4,"Le Carnaval des Animaux, R.125: 4. Tortues",0.0875,716986.0405806585,41.0,3267.0
0.983,0.0948,342333,0.0319,Gavin Bryars,4TjJ5b22AXzgnhtofTrRAP,https://i.scdn.co/image/4a39708f6ca3f66024e7cf3b20621332a70c61a4,0.726,1,0.0993,-29.569000000000006,16,,0.0482,https://open.spotify.com/track/4TjJ5b22AXzgnhtofTrRAP,87,4,3,The Last Days (for 2 violins): 1. The Venetian Beginning,0.0318,693178.1683258425,42.0,3266.0
0.989,0.0696,220040,0.0213,Bruno Maderna,2j0ae9GdpZRUfReof0mTGR,https://i.scdn.co/image/0802a2c289c7b1fa66b0cb02b099b50333022ea7,0.195,9,0.0843,-30.619,1,https://p.scdn.co/mp3-preview/bfd0780eb19df05c2606426fdbac191a818fb670?cid=f715962b546a41029c80979d6042ad77,0.0438,https://open.spotify.com/track/2j0ae9GdpZRUfReof0mTGR,76,4,1,"Requiem, Pt. 1: Part I: Requiem",0.0345,607934.4530285436,43.0,3265.0
0.994,0.162,235253,0.0053,Georg Friedrich Haas,13T7iTi583TEaorNmQLXpa,https://i.scdn.co/image/069bbcf4cbbd7cbaffe6da0ce0ef26eab0802ccb,0.828,7,0.0976,-29.011,8,https://p.scdn.co/mp3-preview/d68af00fc957af3009e3b6dc3df403d483223407?cid=f715962b546a41029c80979d6042ad77,0.0497,https://open.spotify.com/track/13T7iTi583TEaorNmQLXpa,130,3,15,In Nomine,0.0314,602801.0138080781,44.0,3264.0
0.983,0.18600000000000005,462533,0.00228,Dmitri Shostakovich,46TzngK2DGxxn3yO3gjTGe,https://i.scdn.co/image/fd28d4bea73bf448e70457afb38b4a3ffd0e8147,0.945,0,0.0718,-38.863,46,https://p.scdn.co/mp3-preview/8eb5ba17e827b861a0d4ea91ec763b67bac2047b?cid=f715962b546a41029c80979d6042ad77,0.0424,https://open.spotify.com/track/46TzngK2DGxxn3yO3gjTGe,78,4,2,Piano Concerto No. 2 Op. 102 in F Major: II. Andante,0.0392,601567.1441620906,45.0,3263.0
0.989,0.115,292213,0.00151,Harold Budd,50mwGp3PgKoZldhBvfy2cf,https://i.scdn.co/image/f6f10178e7ae2cd6e091b807683d3eabe4948249,0.82,10,0.112,-36.995,50,,0.0454,https://open.spotify.com/track/50mwGp3PgKoZldhBvfy2cf,70,4,4,Against The Sky - 2005 Digital Remaster,0.0298,598246.7954077832,46.0,3262.0
0.978,0.187,195533,0.00811,Elliott Carter,6xAxgTf4oX8WJT0RRObV7P,https://i.scdn.co/image/92dbb0caedc8a0c6c2f5654bcb13c87931f12c67,0.918,9,0.0998,-29.724,5,https://p.scdn.co/mp3-preview/2df06d8fb216a813a868feea9f3631547857e4a7?cid=f715962b546a41029c80979d6042ad77,0.045,https://open.spotify.com/track/6xAxgTf4oX8WJT0RRObV7P,171,1,8,Figment III,0.0397,595141.6246369287,47.0,3261.0
0.985,0.175,81443,0.00245,Mika Vainio,3ARQDXlGwNXHnFpTGDoVWS,https://i.scdn.co/image/3c272c6333bf8887e73c9d9f041a8c7f5f04631f,0.969,10,0.104,-22.111,18,https://p.scdn.co/mp3-preview/82900829cc70928b2d39a38c2f729447aed7ebf7?cid=f715962b546a41029c80979d6042ad77,0.0532,https://open.spotify.com/track/3ARQDXlGwNXHnFpTGDoVWS,117,3,3,Movements 3,0.062,590357.3672484946,48.0,3260.0
