id,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
5Q2P43CJra0uRAogjHyJDK,"Baby, It's Cold Outside (feat. Meghan Trainor)",78,https://p.scdn.co/mp3-preview/034b86b6675353d9e88badc912cf1196e4530d7a?cid=f715962b546a41029c80979d6042ad77,2,Brett Eldredge,https://i.scdn.co/image/864264c9a4668932d8c1742a8d4930df84d249d8,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK,0.738,0.583,173560,0.5720000000000001,0.0,1,0.266,-4.776,0.0366,114,4,0.684
38xhBO2AKrJnjdjVnhJES6,This Christmas,69,https://p.scdn.co/mp3-preview/7e4fa0722d759b1df100377452d39c4802a475a7?cid=f715962b546a41029c80979d6042ad77,15,Donny Hathaway,https://i.scdn.co/image/679d8d80811e4a926fa499c449ab6c4ed58dfce2,https://open.spotify.com/track/38xhBO2AKrJnjdjVnhJES6,0.292,0.634,231173,0.645,0.0,5,0.24600000000000002,-9.2,0.0376,93,4,0.677
3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),75,https://p.scdn.co/mp3-preview/bc867c88d6a28e686acb9c6735b73c6c6ee9f310?cid=f715962b546a41029c80979d6042ad77,4,Mariah Carey,https://i.scdn.co/image/46fb2752b5a9967f94c2cafd5f2903c89d6d8bf7,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN,0.022000000000000002,0.5660000000000001,153240,0.782,0.0,3,0.109,-7.444,0.0311,127,4,0.6970000000000001
1F8tXdM8cz9bH5PiK1SuAB,Wonderful Christmastime (Edited Version) [Remastered],33,,17,Paul McCartney,https://i.scdn.co/image/d0e103bb40bac7ec72eec4147ed52914bf7f6b7a,https://open.spotify.com/track/1F8tXdM8cz9bH5PiK1SuAB,0.28800000000000003,0.774,225840,0.508,0.0,11,0.069,-9.115,0.0335,95,4,0.773
2qoZNAP3JLyIOtbsPtBjvV,What Christmas Means To Me,31,,12,Stevie Wonder,https://i.scdn.co/image/291fb4236884fcc4a12e27f263a090b4d6092e9d,https://open.spotify.com/track/2qoZNAP3JLyIOtbsPtBjvV,0.244,0.478,147226,0.542,0.0,5,0.0839,-10.135,0.0367,167,4,0.821
6YJdPrH3i2POzu7hdHIRrb,Santa Baby,79,,4,Ariana Grande,https://i.scdn.co/image/3521352fa31542653b33314116131aef7674fe55,https://open.spotify.com/track/6YJdPrH3i2POzu7hdHIRrb,0.0581,0.747,170933,0.7759999999999999,0.0,0,0.284,-5.772,0.14400000000000002,96,4,0.812
0QtJZpyfZF67QF32p41NXa,Thank God It's Christmas,65,,17,Queen,https://i.scdn.co/image/b6eb04d798cebe75fa80e0849943f5d5c07e1d84,https://open.spotify.com/track/0QtJZpyfZF67QF32p41NXa,0.07200000000000001,0.573,259226,0.475,0.0,7,0.358,-8.11,0.0258,108,3,0.324
2wCPMWR3y4xclijuCcLJv7,Jingle Bell Rock,36,,6,Bobby Helms,https://i.scdn.co/image/5f4a7793f660f7e42673137e91c47a10073aba62,https://open.spotify.com/track/2wCPMWR3y4xclijuCcLJv7,0.8440000000000001,0.7090000000000001,131546,0.506,0.0,2,0.062,-5.627999999999999,0.0377,119,4,0.682
5MknXpAUgINT11lxoobaJK,Bring Me Love,66,https://p.scdn.co/mp3-preview/9f19fc28ed8f10337bea090047cc4d3676a55490?cid=f715962b546a41029c80979d6042ad77,2,John Legend,https://i.scdn.co/image/66faa95e8dc0d730b7abae66afbddf8989cec394,https://open.spotify.com/track/5MknXpAUgINT11lxoobaJK,0.198,0.506,199546,0.86,0.0,2,0.125,-6.276,0.425,192,4,0.5820000000000001
5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,83,https://p.scdn.co/mp3-preview/6b5b5e401c3803f9ff6ff877fe79fae9f22e162b?cid=f715962b546a41029c80979d6042ad77,4,Andy Williams,https://i.scdn.co/image/4066536258116f4c6abec1d2ae89a24748a49cd5,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,0.7659999999999999,0.24,151933,0.598,0.0,7,0.11699999999999999,-8.435,0.037000000000000005,202,3,0.7759999999999999
32OWobmyAz8J2qA8iWekyS,Mistletoe,36,,2,Justin Bieber,https://i.scdn.co/image/ace74e6742f6d020c22c45d6d218884d4ff1932d,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,0.511,0.6659999999999999,182946,0.5429999999999999,0.0,6,0.0911,-9.187999999999999,0.0446,162,4,0.8809999999999999
2BDOXelusiQedIRpyec3Uc,Sleigh Ride,46,https://p.scdn.co/mp3-preview/9ba7c77e652407a89f2c611a794e799250f2dd5c?cid=f715962b546a41029c80979d6042ad77,32,The Ronettes,https://i.scdn.co/image/0193bceac7212e781d9527740a24cd7bb6c6c5d6,https://open.spotify.com/track/2BDOXelusiQedIRpyec3Uc,0.39799999999999996,0.521,180906,0.7879999999999999,1.53e-06,7,0.32,-6.725,0.03,92,4,0.815
6XAdcAseYtijN0QUnQFsH2,Sleigh Ride,69,https://p.scdn.co/mp3-preview/12e37329a20a7aa352e9962a7d44f30e4bae54af?cid=f715962b546a41029c80979d6042ad77,3,Johnny Mathis,https://i.scdn.co/image/f7522bc613078ed37ace19d229b19e456e1c9f86,https://open.spotify.com/track/6XAdcAseYtijN0QUnQFsH2,0.698,0.605,178720,0.664,0.0,1,0.121,-8.95,0.0274,103,4,0.8859999999999999
4ricyQVd20UQde1jpXCSuJ,Winter Wonderland,75,https://p.scdn.co/mp3-preview/712da3a41b1024f63b325dab13b8803664f95661?cid=f715962b546a41029c80979d6042ad77,8,Tony Bennett,https://i.scdn.co/image/2c5f947f1b3172de8c75c7f7efbaf11c8fdaf4eb,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ,0.833,0.452,133866,0.366,0.0,0,0.0789,-14.15,0.0415,115,4,0.629
15sxLiiChE5dCW3Y756oas,I Saw Mommy Kissing Santa Claus,71,,11,The Jackson 5,https://i.scdn.co/image/27a90d8097d9e2ea6333802cf957e864f17e58cd,https://open.spotify.com/track/15sxLiiChE5dCW3Y756oas,0.263,0.583,181266,0.7120000000000001,1.02e-06,3,0.8170000000000001,-8.222000000000001,0.0538,129,4,0.614
1ADjWm8QNhgNV8yCNNgQ1T,Santa Tell Me,39,,1,Ariana Grande,https://i.scdn.co/image/c3a559258bb0a64c7ed492c3b83c34aab5157aeb,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,0.0464,0.46399999999999997,204093,0.63,0.0,7,0.295,-7.337000000000001,0.182,133,5,0.527
35ys6iS1supcwFoxLJkFbg,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",37,,7,Bruce Springsteen,https://i.scdn.co/image/cf5ab6120055096cb4d2ca034d124538a741b5e9,https://open.spotify.com/track/35ys6iS1supcwFoxLJkFbg,0.36200000000000004,0.355,267600,0.6679999999999999,1.23e-06,0,0.727,-8.443999999999999,0.0482,140,4,0.413
3zJw3rugfpVrmBeDDnUYzy,Happy Xmas (War Is Over) - Remastered,81,,14,John Lennon,https://i.scdn.co/image/46b66015cd0996bcde1c7344885aedc2ffe3d0e8,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,0.319,0.32799999999999996,213880,0.607,0.0,2,0.765,-11.075999999999999,0.0315,147,3,0.395
6XzpeMXDvLC86GvAfnUsIA,A Holly Jolly Christmas - Single Version,72,,14,Burl Ives,https://i.scdn.co/image/4cca72989e4e16dc4147d81e1ab1437b4df59f9a,https://open.spotify.com/track/6XzpeMXDvLC86GvAfnUsIA,0.591,0.675,133093,0.369,0.0,0,0.0971,-13.004000000000001,0.0299,141,4,0.8690000000000001
79a2ejVzj2SpXkpWdfv1Co,Sleigh Ride,71,,5,Ella Fitzgerald,https://i.scdn.co/image/abdc92b0085c36f1c3af08a0abb98e69addc734c,https://open.spotify.com/track/79a2ejVzj2SpXkpWdfv1Co,0.777,0.485,175986,0.297,0.0,1,0.124,-12.332,0.0794,155,4,0.622
0yS8P7DFNEBYQ5yHadM5z0,"Oh Holy Night - Recorded at Metropolis Studios, London",68,https://p.scdn.co/mp3-preview/d07f90af391da01f8a21b6496f2da910d492b6fc?cid=f715962b546a41029c80979d6042ad77,1,Nina Nesbitt,https://i.scdn.co/image/a019ae07f25b11ad0c466a32667163b2ebf138aa,https://open.spotify.com/track/0yS8P7DFNEBYQ5yHadM5z0,0.8009999999999999,0.324,227887,0.19699999999999998,0.0,8,0.115,-10.191,0.0337,179,3,0.33799999999999997
3Z3QhZAZpqwZa1phsbQ3JZ,Driving Home For Christmas,77,https://p.scdn.co/mp3-preview/ceedafb966b1e9336e126bbca99daec3b87914c3?cid=f715962b546a41029c80979d6042ad77,37,Chris Rea,https://i.scdn.co/image/22f1aa20feba3559c06422bda8757f4eb2fae03b,https://open.spotify.com/track/3Z3QhZAZpqwZa1phsbQ3JZ,0.32799999999999996,0.49700000000000005,240213,0.6609999999999999,0.000317,9,0.21100000000000002,-9.047,0.0361,180,4,0.894
2pXpURmn6zC5ZYDMms6fwa,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),79,https://p.scdn.co/mp3-preview/d50d2c9b3b4f9522b5a1f6aba3eef17a3b1ad8bf?cid=f715962b546a41029c80979d6042ad77,8,Perry Como,https://i.scdn.co/image/1f9102c32d5b309ac45e68f84477a51f7c8b3e46,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa,0.76,0.725,155933,0.276,0.0,7,0.11599999999999999,-12.25,0.0599,113,4,0.7170000000000001
7Hz6LLOVxrojLPIHJJ1S0E,Have Yourself A Merry Little Christmas,38,,1,Sam Smith,https://i.scdn.co/image/04bf6c10e93aab07202dde6547586aaf973b699b,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,0.9540000000000001,0.426,170964,0.177,0.0,5,0.317,-9.429,0.0436,133,1,0.317
