acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.959,0.157,428040,0.125,Daniel Kobialka,5NdCJCizuQkhIPaKeKQaCZ,https://i.scdn.co/image/4b245fc1690461ab469619941f79c1bc9242fdee,0.95,3,0.102,-18.285,23,https://p.scdn.co/mp3-preview/542d07d0ee18819ae00ae4367aaafb76548a0bfd?cid=f715962b546a41029c80979d6042ad77,0.0405,https://open.spotify.com/track/5NdCJCizuQkhIPaKeKQaCZ,91,3,5,As Far as We Wish,0.0375,3260724.206485398,1.0,3897.0
0.972,0.149,149800,0.0535,Erik Wøllo,4LrQBfb9zWOF5dwa1bhbF7,https://i.scdn.co/image/33327f96b197ef72b856f4ce1ef493fadec061f8,0.94,1,0.093,-25.007,29,https://p.scdn.co/mp3-preview/26d1e1eecf8635449b61549e5a44c0dd3b30ff8c?cid=f715962b546a41029c80979d6042ad77,0.0406,https://open.spotify.com/track/4LrQBfb9zWOF5dwa1bhbF7,138,3,9,Skyscape,0.0375,2980374.8310838114,2.0,3896.0
0.947,0.124,497419,0.109,Sarah Davachi,1L9zoEDnYB35DS5W4hCEcP,https://i.scdn.co/image/9100904fe75b5f79c954078252dd567800c6eb35,0.945,7,0.0934,-24.861,24,https://p.scdn.co/mp3-preview/1806058d0431de762fdde5ba6354aff90c934e46?cid=f715962b546a41029c80979d6042ad77,0.0383,https://open.spotify.com/track/1L9zoEDnYB35DS5W4hCEcP,72,4,4,Buhrstone,0.0382,2908247.4729521787,3.0,3895.0
0.948,0.16699999999999998,265933,0.0439,Dario Marianelli,48bFgWuYofpZqmIxC82R8V,https://i.scdn.co/image/85a3aba3616a973d341949cebd8e7c34438ca1b3,0.913,0,0.0904,-17.999000000000006,59,https://p.scdn.co/mp3-preview/bf03748cc589a8a39145a0b3cfaffb2b712f625b?cid=f715962b546a41029c80979d6042ad77,0.0437,https://open.spotify.com/track/48bFgWuYofpZqmIxC82R8V,77,4,18,Awaken,0.0366,2821084.4357263017,4.0,3894.0
0.939,0.136,304987,0.0754,Stars Of The Lid,2U9rXVRiRnRTL1Y3H1sReI,https://i.scdn.co/image/9940ba011b8de47b8d6f5019c8525e5be60cdbef,0.923,2,0.106,-20.76,51,https://p.scdn.co/mp3-preview/2268d8e78c10b3dc78388207ae5481867903f952?cid=f715962b546a41029c80979d6042ad77,0.0465,https://open.spotify.com/track/2U9rXVRiRnRTL1Y3H1sReI,143,3,4,The Evil That Never Arrived,0.0352,2746999.7125148484,5.0,3893.0
0.935,0.121,1259209,0.121,David Sylvian,6drVifMsoEpAmU5QoumM0L,https://i.scdn.co/image/4e4a6155a239ab10ff05fb66944ac0bdc2f4b1d1,0.923,2,0.099,-21.582,12,https://p.scdn.co/mp3-preview/622b55559b98d05a309f65cb0e0bd346b349ac9f?cid=f715962b546a41029c80979d6042ad77,0.0384,https://open.spotify.com/track/6drVifMsoEpAmU5QoumM0L,76,4,4,Mutability (A New Beginning Is in the Offing),0.0351,2647799.271332003,6.0,3892.0
0.914,0.134,412427,0.0543,Matt Borghi,1B0fA9SkalJn6IGyKGHMZx,https://i.scdn.co/image/8b773e4cb7abaaf08f55319596ffbc924c879834,0.777,11,0.106,-30.89,9,https://p.scdn.co/mp3-preview/640748df3774bdbc1af7412955bba0bbf7115f93?cid=f715962b546a41029c80979d6042ad77,0.0421,https://open.spotify.com/track/1B0fA9SkalJn6IGyKGHMZx,143,3,3,The Unfolding,0.0368,2579184.323082569,7.0,3891.0
0.906,0.14,163893,0.0546,Harald Kloser,6dNfleXe8WH3fNdd08sutw,https://i.scdn.co/image/1ddeb7c3bd5a02a0f4e73ac1187f72298de5cb9c,0.979,9,0.0925,-27.308000000000003,22,,0.0414,https://open.spotify.com/track/6dNfleXe8WH3fNdd08sutw,102,3,4,Evolet,0.0356,2500603.523900084,8.0,3890.0
0.931,0.16899999999999998,275741,0.132,Liquid Mind,2YV9KQI1gCnfhx4SH9jgMg,https://i.scdn.co/image/25c802abb050e9877773dd26dcaf7e51ba65f49d,0.887,0,0.0937,-23.196,48,https://p.scdn.co/mp3-preview/e6a005d0eba2f49e60591b3f03724e2b474e0914?cid=f715962b546a41029c80979d6042ad77,0.0459,https://open.spotify.com/track/2YV9KQI1gCnfhx4SH9jgMg,114,4,3,Letting Go - Pt. 1,0.0349,2446432.6665578997,9.0,3889.0
0.904,0.16,435133,0.0848,Constance Demby,2bP0fL0Ppfl6yOsbE1hDe4,https://i.scdn.co/image/8398d4b87a50353cf1e4a62c96228db82016a35c,0.946,6,0.106,-25.647,18,https://p.scdn.co/mp3-preview/8b55a635e4063ff9e7b1258b8a2c4fd1150a5563?cid=f715962b546a41029c80979d6042ad77,0.0444,https://open.spotify.com/track/2bP0fL0Ppfl6yOsbE1hDe4,131,4,5,Haven of Peace,0.0352,2424863.3561946484,10.0,3888.0
0.975,0.173,169533,0.129,Mychael Danna,1RxaEvQCmT36nIZFYjpk5F,https://i.scdn.co/image/a5dff1f0dba495f91bdf935f5dd933f664640c75,0.964,6,0.101,-20.377,54,https://p.scdn.co/mp3-preview/f6bbd55f4b1a647dd9516509c3a6e97c84eaca88?cid=f715962b546a41029c80979d6042ad77,0.042,https://open.spotify.com/track/1RxaEvQCmT36nIZFYjpk5F,63,4,12,Tsimtsum,0.0339,2333366.537799951,11.0,3887.0
0.927,0.14,213011,0.0332,David Darling,4MZVVnHRbi5BsA35NhINAB,https://i.scdn.co/image/9369827934be90e81e1e9f0a1c5696744a5399cd,0.8809999999999999,2,0.103,-25.332,24,https://p.scdn.co/mp3-preview/e447de2129a924a5a32cdc3a15ef7613e022b2d7?cid=f715962b546a41029c80979d6042ad77,0.042,https://open.spotify.com/track/4MZVVnHRbi5BsA35NhINAB,142,3,5,And Grace,0.0394,2295855.2020240617,12.0,3886.0
0.956,0.181,333400,0.0863,Jon Hopkins,4esxro8J1rbsalCPb0yrgC,https://i.scdn.co/image/00a8124cb41d9a397bf5d5eb419f3c09056108e4,0.95,1,0.0929,-21.685,50,https://p.scdn.co/mp3-preview/b9edd28a737051bced9868993491b0ef33f32261?cid=f715962b546a41029c80979d6042ad77,0.0374,https://open.spotify.com/track/4esxro8J1rbsalCPb0yrgC,71,4,5,Feel First Life,0.0337,2277899.654316411,13.0,3885.0
