acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.0403,0.847,243200,0.684,Black Sheep,4k9EkhkFZY8Bk41Qi0Ob7P,https://i.scdn.co/image/85186c72dcf21a2cc438c747fa4592f25e6f2fac,0.0,10,0.0781,-12.048,54,,0.248,https://open.spotify.com/track/4k9EkhkFZY8Bk41Qi0Ob7P,101,4,21,The Choice Is Yours (Revisited),0.688,9655.172320984744,1.0,3351.0
0.0405,0.856,278200,0.696,Diddy,3GMR3hyv8BccozoebVMve3,https://i.scdn.co/image/eda1ed1c17aecb7e3bac45c8efee84b64c41c97c,8.75e-06,6,0.0901,-3.51,56,https://p.scdn.co/mp3-preview/ad55e7deaca06bb4092b1073afac18b4be9a4776?cid=f715962b546a41029c80979d6042ad77,0.226,https://open.spotify.com/track/3GMR3hyv8BccozoebVMve3,90,4,10,"It's All About The Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",0.718,9608.91812665278,2.0,3350.0
0.0392,0.85,286187,0.728,Kool Keith,54QMudG9JQV6jN5NyRJ8aF,https://i.scdn.co/image/95606a54aad598d0f7f3740789ca52abf69624f8,0.0,1,0.0821,-4.642,21,https://p.scdn.co/mp3-preview/afdf036ed95b1a1e273fa0a7a261b540c1307f88?cid=f715962b546a41029c80979d6042ad77,0.254,https://open.spotify.com/track/54QMudG9JQV6jN5NyRJ8aF,101,4,4,Make up Your Mind,0.7120000000000001,9204.536451649112,3.0,3349.0
0.0332,0.8370000000000001,270093,0.688,MC Lyte,0wIEQYOLgV9TneTgM3aRVE,https://i.scdn.co/image/eb95eefa67f4d967bb859ba019ef464369987023,0.0,10,0.0999,-7.307,38,https://p.scdn.co/mp3-preview/004d2e1b54f202c91cb578985f5bef4ef5ee2db2?cid=f715962b546a41029c80979d6042ad77,0.21600000000000005,https://open.spotify.com/track/0wIEQYOLgV9TneTgM3aRVE,96,4,6,Poor Georgie,0.7090000000000001,8193.339341707659,4.0,3348.0
0.0297,0.897,208267,0.612,Cypress Hill,1oTHteQbmJw15rPxPVXUTv,https://i.scdn.co/image/043011d6cf10ffca413bc2c553da865cf8099dea,0.18600000000000005,11,0.0894,-10.489,69,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=f715962b546a41029c80979d6042ad77,0.211,https://open.spotify.com/track/1oTHteQbmJw15rPxPVXUTv,102,4,3,Insane in the Brain,0.767,7466.575831147586,5.0,3347.0
0.0265,0.9,191200,0.635,Arrested Development,1BPGVK07VnVlMx5KiGSxf4,https://i.scdn.co/image/bd1e1aec5613568f593705d435aa65b95b8cea79,2.9e-05,10,0.07200000000000001,-12.389,36,,0.222,https://open.spotify.com/track/1BPGVK07VnVlMx5KiGSxf4,107,4,5,Africa's Inside Me,0.634,7208.697806734044,6.0,3346.0
0.0257,0.8270000000000001,182160,0.6759999999999999,House Of Pain,7ygrDIOwwM4gtNf8Pz6kxW,https://i.scdn.co/image/de2534076e767d5e8194d6925b349b386386f80c,4.8e-06,7,0.079,-9.735,38,https://p.scdn.co/mp3-preview/7463c1d3923b56009ba4c5a11bbf52da71be2435?cid=f715962b546a41029c80979d6042ad77,0.262,https://open.spotify.com/track/7ygrDIOwwM4gtNf8Pz6kxW,98,4,3,Put Your Head Out,0.792,7146.769987035998,7.0,3345.0
0.0283,0.838,302004,0.765,A$AP Mob,2rqUblDWJKlMVwh9uJc0Vv,https://i.scdn.co/image/89691201446dc06e88aa5696dc36c2d9da913e6c,1.5e-05,7,0.0779,-6.299,68,https://p.scdn.co/mp3-preview/d93fb61c4d8363799f245f9de4eae8e8183bf7e1?cid=f715962b546a41029c80979d6042ad77,0.28,https://open.spotify.com/track/2rqUblDWJKlMVwh9uJc0Vv,138,4,1,Yamborghini High,0.635,6652.0663676558,8.0,3344.0
0.0423,0.8590000000000001,265800,0.7190000000000001,Brand Nubian,1RcS2X26yGTowcttwIgkv4,https://i.scdn.co/image/fbb34304b56082b4373563aea7f7f44492f27ec0,0.000746,1,0.104,-12.815,44,https://p.scdn.co/mp3-preview/31ec6339ac4131215b0b8ab0c35bcf8eedb9458b?cid=f715962b546a41029c80979d6042ad77,0.211,https://open.spotify.com/track/1RcS2X26yGTowcttwIgkv4,98,4,14,Punks Jump Up to Get Beat Down,0.6579999999999999,6340.06758299191,9.0,3343.0
0.0344,0.8490000000000001,213907,0.635,Naughty By Nature,3MPKTMJIxlORqcxw542HHK,https://i.scdn.co/image/7f48a04ed65aeb87db50ee3fa2a628b68e40b0df,0.0,0,0.08199999999999999,-9.425,54,https://p.scdn.co/mp3-preview/6060b4ae12603cde9b254829847600a0cc22a5a5?cid=f715962b546a41029c80979d6042ad77,0.266,https://open.spotify.com/track/3MPKTMJIxlORqcxw542HHK,92,4,8,Jamboree,0.856,5576.968754236154,10.0,3342.0
