acousticness,danceability,duration_ms,energy,firstartist,id,imageurl,instrumentalness,key,liveness,loudness,popularity,preview_url,speechiness,spotifyurl,tempo,time_signature,track_number,trackname,valence,density,baseline_ranking,baseline_score
0.28800000000000003,0.71,240160,0.6459999999999999,Archie Bell & The Drells,6ySx2PSSEKRLtpjAHf0q3B,https://i.scdn.co/image/2645484c9ac84fa1af8675af53deb629e4135074,0.000308,5,0.0976,-8.191,41,https://p.scdn.co/mp3-preview/32f25ec57f0889cb7b375a880f12691c51373772?cid=f715962b546a41029c80979d6042ad77,0.0496,https://open.spotify.com/track/6ySx2PSSEKRLtpjAHf0q3B,92,4,5,It's Hard Not to Like You,0.919,8077.63758172277,1.0,3299.0
0.209,0.7609999999999999,168933,0.605,Aretha Franklin,2oZmMp5M6L0Rh7G84Um2tF,https://i.scdn.co/image/d260bf4637f65033bc6e0eb7f4fabd80fe85bb93,0.0,10,0.135,-9.899,59,https://p.scdn.co/mp3-preview/f344db923db1a5fb61b2371d91574ebe123de0e6?cid=f715962b546a41029c80979d6042ad77,0.0498,https://open.spotify.com/track/2oZmMp5M6L0Rh7G84Um2tF,117,4,1,Chain of Fools,0.941,6537.395646466752,2.0,3298.0
0.263,0.6609999999999999,360360,0.5760000000000001,Odyssey,1VyzLNcRqpVaEhbqjYOPdF,https://i.scdn.co/image/1485f5dd6bb6214a9f861ae7cb861fc290fef4d9,0.0767,9,0.0907,-11.12,34,https://p.scdn.co/mp3-preview/04dea19832b974b0a4353058b49c551e19213e23?cid=f715962b546a41029c80979d6042ad77,0.0405,https://open.spotify.com/track/1VyzLNcRqpVaEhbqjYOPdF,114,4,1,Hang Together,0.929,5610.79913336492,3.0,3297.0
0.202,0.7809999999999999,257760,0.695,Cymande,1cSn7YyTn523mnxtOZXRYA,https://i.scdn.co/image/25386505fa277ead430168f8390be0241088710b,0.448,3,0.121,-9.911,46,https://p.scdn.co/mp3-preview/b507f83e63964c99b7a96ff189cd1f495833a498?cid=f715962b546a41029c80979d6042ad77,0.052000000000000005,https://open.spotify.com/track/1cSn7YyTn523mnxtOZXRYA,87,4,8,The Message,0.921,5343.759673319474,4.0,3296.0
0.318,0.634,179120,0.677,Jackie Wilson,5qyq1H5OPMlfuvZQ1wQNo7,https://i.scdn.co/image/12779f8f39ad5cf20a5b061a6b888f4e6cb2ac93,0.0,2,0.0902,-7.19,60,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=f715962b546a41029c80979d6042ad77,0.0448,https://open.spotify.com/track/5qyq1H5OPMlfuvZQ1wQNo7,96,4,1,(Your Love Keeps Lifting Me) Higher & Higher,0.939,5201.087622242146,5.0,3295.0
0.8340000000000001,0.41,149400,0.305,Tommy Edwards,0h3iEtnpI89eKsVWNcTekj,https://i.scdn.co/image/87c8f61f412e15472a186cf3599f78ea9a619b8f,1.46e-06,1,0.103,-11.492,10,,0.0316,https://open.spotify.com/track/0h3iEtnpI89eKsVWNcTekj,136,3,14,Take These Chains From My Heart,0.361,4703.588508616239,6.0,3294.0
0.354,0.639,280107,0.579,Maze,0TL4pQTDqyx1r4VlnQQCwC,https://i.scdn.co/image/3a823067fb81b79d5532dd783f784570ed538e33,1.49e-06,3,0.0732,-13.34,27,,0.0512,https://open.spotify.com/track/0TL4pQTDqyx1r4VlnQQCwC,156,4,7,While I'm Alone,0.929,4476.744013495808,7.0,3293.0
0.21,0.7609999999999999,215173,0.67,Prince,5jSz894ljfWE0IcHBSM39i,https://i.scdn.co/image/9be48365d7993df856905c0bc8d46020ddfabbff,0.000426,2,0.0685,-12.759,65,https://p.scdn.co/mp3-preview/80cd007d427fcfd8c9a9139cfc4fd7b20bfead4c?cid=f715962b546a41029c80979d6042ad77,0.0438,https://open.spotify.com/track/5jSz894ljfWE0IcHBSM39i,121,4,4,Raspberry Beret,0.91,4372.827877141039,8.0,3292.0
0.451,0.769,288093,0.6709999999999999,The Brothers Johnson,1mo1tQypPi59Unv8vWuNbL,https://i.scdn.co/image/ab604ed3bcf209d00f7eefeed927dbff01b0c593,0.000441,11,0.0991,-11.77,42,,0.0403,https://open.spotify.com/track/1mo1tQypPi59Unv8vWuNbL,98,4,1,I'll Be Good To You,0.932,4336.240614679287,9.0,3291.0
0.405,0.748,223107,0.743,Shalamar,7rpbaKBhpvjSELtB8pinNX,https://i.scdn.co/image/e586a480166573b6cee16a6f58d6923963616e09,5.66e-06,8,0.125,-5.996,38,https://p.scdn.co/mp3-preview/33446f0df9d6103bca13df2ff14050358706a634?cid=f715962b546a41029c80979d6042ad77,0.0433,https://open.spotify.com/track/7rpbaKBhpvjSELtB8pinNX,112,4,3,The Second Time Around,0.914,4190.277845745237,10.0,3290.0
