id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
16N8VFk00FsPJvaoJjbHxU,avant-garde,"Piano Concerto No.24 In C Minor, K.491: 2. Larghetto",6,,5,Wolfgang Amadeus Mozart,https://i.scdn.co/image/ab67616d00001e020af7b98234b00e995dd789a5,https://open.spotify.com/track/16N8VFk00FsPJvaoJjbHxU,0.987,0.18,492013,0.0259,0.941,3,0.119,-29.298,0.0361,80.369,4,0.0929,2170.661690748697,1.0,3305.0
6eG44frjlxlocLNyOycx0i,avant-garde,Sounding Point,5,https://p.scdn.co/mp3-preview/9bc4c52735a9ad4d7b83bf71a67b37d3a4a39396?cid=9fdb4c15be18472b830ea3f6f9779309,2,Mark Feldman,https://i.scdn.co/image/ab67616d00001e02da469564aa8c7145fe931dd1,https://open.spotify.com/track/6eG44frjlxlocLNyOycx0i,0.989,0.334,250929,0.0342,0.17800000000000002,9,0.0872,-22.605,0.0572,89.935,3,0.0782,2143.909433391131,2.0,3304.0
2L76dRJlXYkyakLS8fdUC2,avant-garde,The Beatitudes,37,https://p.scdn.co/mp3-preview/b99a301f5ff07d93c1a3b39617a4ad3f13c38093?cid=9fdb4c15be18472b830ea3f6f9779309,4,Vladimir Martynov,https://i.scdn.co/image/ab67616d00001e029bc82c97bb5fa8b56fb6b6f3,https://open.spotify.com/track/2L76dRJlXYkyakLS8fdUC2,0.988,0.241,315693,0.0518,0.957,10,0.0834,-32.2,0.0453,89.585,4,0.0875,2125.3415671060884,3.0,3303.0
46luFuHCTJkrAzwopHwjxx,avant-garde,Amnesia Breaks,0,https://p.scdn.co/mp3-preview/f32807c5cf3ff67c4b204c8273f61522aabfbf5b?cid=9fdb4c15be18472b830ea3f6f9779309,8,Lee Hyla,https://i.scdn.co/image/ab67616d00001e02c44dc53d550d11a77ebc532e,https://open.spotify.com/track/46luFuHCTJkrAzwopHwjxx,0.99,0.253,511000,0.0264,0.8909999999999999,0,0.163,-27.343000000000004,0.0446,165.34,5,0.04,2109.486999589931,4.0,3302.0
0BjzzajYvpe3dQmcyIKSQv,avant-garde,Shudder to Think,14,https://p.scdn.co/mp3-preview/1b92ae5cb21a72397c616cdc8194d6f1dd212379?cid=9fdb4c15be18472b830ea3f6f9779309,3,Ned Rothenberg,https://i.scdn.co/image/ab67616d00001e029e72f0fc396819eb08c3718d,https://open.spotify.com/track/0BjzzajYvpe3dQmcyIKSQv,0.99,0.275,227347,0.037000000000000005,0.135,10,0.108,-22.246,0.0384,76.384,4,0.0395,2033.388609165295,5.0,3301.0
5Yi8VklOZyGitG5WRPsExI,avant-garde,Si Dolce È Il Tormento,9,,7,Paolo Fresu,https://i.scdn.co/image/ab67616d00001e029238e5fb283c67bf7a0e410f,https://open.spotify.com/track/5Yi8VklOZyGitG5WRPsExI,0.986,0.29,326120,0.0469,0.00037,9,0.0819,-13.662,0.0358,73.882,4,0.0694,1991.3254536490745,6.0,3300.0
4ezZZU6jte5uqfNRTnzzrb,avant-garde,Rain Through the Night,11,https://p.scdn.co/mp3-preview/df31495214680df70f44a9a7956a16ee0733a1b8?cid=9fdb4c15be18472b830ea3f6f9779309,2,Jeff Greinke,https://i.scdn.co/image/ab67616d00001e028d7f711e4a4515770a579e60,https://open.spotify.com/track/4ezZZU6jte5uqfNRTnzzrb,0.989,0.276,240862,0.0209,0.957,3,0.101,-26.462,0.0424,127.055,4,0.0393,1960.109213398593,7.0,3299.0
5WOU61uUvOKbvMR3d6welT,avant-garde,Age d'Or,0,https://p.scdn.co/mp3-preview/05c0af58efa511653e10862a1c1b50c78ad3759a?cid=9fdb4c15be18472b830ea3f6f9779309,9,Bun-Ching Lam,https://i.scdn.co/image/ab67616d00001e023edbbd327d6501e69b6ddc49,https://open.spotify.com/track/5WOU61uUvOKbvMR3d6welT,0.988,0.299,398644,0.0487,0.00128,7,0.107,-18.278,0.043,133.30200000000002,4,0.0594,1952.1588177963863,8.0,3298.0
1Tgs4XmwBJUZtmX5YQ1Md4,avant-garde,Dialodia,1,https://p.scdn.co/mp3-preview/584553f4c1703f9f6b38818f9041b5234fb4751c?cid=9fdb4c15be18472b830ea3f6f9779309,11,Bruno Maderna,https://i.scdn.co/image/ab67616d00001e024ab8237a67bfe9ecf3e6eedf,https://open.spotify.com/track/1Tgs4XmwBJUZtmX5YQ1Md4,0.993,0.245,108501,0.0187,0.613,8,0.254,-24.958,0.0531,70.396,4,0.0967,1903.6149582173641,9.0,3297.0
17R2bhPDYcG2feUojsn6cT,avant-garde,Atlas - Part 3: Invisible Light: Earth Seen From Above,29,,14,Meredith Monk,https://i.scdn.co/image/ab67616d00001e02d51a01697d2cde900af85368,https://open.spotify.com/track/17R2bhPDYcG2feUojsn6cT,0.988,0.194,454933,0.028,0.0943,8,0.1,-23.993,0.0407,126.488,4,0.0335,1815.2014682436331,10.0,3296.0
