id,genre_allmusic,trackname,popularity,preview_url,track_number,firstartist,imageurl,spotifyurl,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,density,baseline_ranking,baseline_score
1QOdi56etSomb1JgPTrr3w,new-age,Dreamcatcher,49,https://p.scdn.co/mp3-preview/c28da2ad1af30d7c45674ad0bc349cf96c6c418e?cid=9fdb4c15be18472b830ea3f6f9779309,6,Kamal,https://i.scdn.co/image/ab67616d00001e02603b8f70793cf181afaf6ad0,https://open.spotify.com/track/1QOdi56etSomb1JgPTrr3w,0.931,0.153,549600,0.104,0.957,1,0.0626,-22.35,0.0363,77.66,4,0.039,786.859515000654,1.0,3778.0
7kf3axPMOJiCzYOdks2wSg,new-age,When All Is Quiet (She Dreams Of Horses),23,,2,Michael Gettel,https://i.scdn.co/image/ab67616d00001e02b036c3e4e2e96e2dabd092fd,https://open.spotify.com/track/7kf3axPMOJiCzYOdks2wSg,0.92,0.16,414893,0.124,0.902,2,0.0909,-19.916,0.0354,134.971,3,0.0396,783.8949550974205,2.0,3777.0
6G964j7YDebUoVPmUuVMeL,new-age,Tuchia,15,,1,Jon Balke,https://i.scdn.co/image/ab67616d00001e023561f16806c2e70390f9f806,https://open.spotify.com/track/6G964j7YDebUoVPmUuVMeL,0.922,0.159,296493,0.0999,0.257,4,0.0852,-18.945,0.0407,83.913,3,0.0481,777.0134469378162,3.0,3776.0
3HaS58s7D6b4mBpECuh0yc,new-age,The Blue Light,35,https://p.scdn.co/mp3-preview/d7eb3d38ff5a21074f80e4d6954fd2cd275fd27e?cid=9fdb4c15be18472b830ea3f6f9779309,2,Bernward Koch,https://i.scdn.co/image/ab67616d00001e0285a3bf98f3a798f002baf799,https://open.spotify.com/track/3HaS58s7D6b4mBpECuh0yc,0.954,0.152,304493,0.0976,0.897,6,0.107,-19.087,0.0351,178.554,3,0.0483,758.8486838420944,4.0,3775.0
4K6Q0cMRGgILKCSlfd6z5p,new-age,Now More Than Ever,22,https://p.scdn.co/mp3-preview/cde43785d118a45b2fa4478b71d13fd849a6f4fc?cid=9fdb4c15be18472b830ea3f6f9779309,8,David Helpling,https://i.scdn.co/image/ab67616d00001e02b968271ed0cef2ad62583998,https://open.spotify.com/track/4K6Q0cMRGgILKCSlfd6z5p,0.919,0.159,585493,0.105,0.877,10,0.0845,-22.353,0.035,73.725,3,0.0385,744.7429308839435,5.0,3774.0
7KfII9Jsjg5WM4maXT5npr,new-age,The Blessing,22,https://p.scdn.co/mp3-preview/c4c5300cc9a68c8871f3d758c8e7f2f0496e2736?cid=9fdb4c15be18472b830ea3f6f9779309,6,Mars Lasar,https://i.scdn.co/image/ab67616d00001e02d156766a9bd25ef4e9fc195b,https://open.spotify.com/track/7KfII9Jsjg5WM4maXT5npr,0.95,0.14800000000000002,281574,0.108,0.89,0,0.0981,-19.802,0.0324,83.86,4,0.0377,728.4048654585254,6.0,3773.0
7mvzqgsXeQvtPjFYTpJjUw,new-age,Journey to the Center,43,https://p.scdn.co/mp3-preview/7512b6c46ad2a3d3060e6c1a0b78c6b4fb09821c?cid=9fdb4c15be18472b830ea3f6f9779309,1,Parijat,https://i.scdn.co/image/ab67616d00001e023a9343bc7ac7e41653c621c0,https://open.spotify.com/track/7mvzqgsXeQvtPjFYTpJjUw,0.922,0.17800000000000002,601933,0.0925,0.794,2,0.129,-17.0,0.0348,105.133,4,0.0382,718.6317463974675,7.0,3772.0
4dYrMXHpzO95UcyLobIzde,new-age,Circle of Grace,26,https://p.scdn.co/mp3-preview/dc8bb530c323bc2ecf7174dc8f1706d589961fa9?cid=9fdb4c15be18472b830ea3f6f9779309,1,Max Corbacho,https://i.scdn.co/image/ab67616d00001e021bf8669d5a984cd3f3d16667,https://open.spotify.com/track/4dYrMXHpzO95UcyLobIzde,0.923,0.16899999999999998,300952,0.138,0.877,11,0.0835,-25.697,0.0427,125.835,4,0.0372,714.1971848537552,8.0,3771.0
03zhFeVXRdiugsURvkKmih,new-age,"Beau, As In Beaumont",31,https://p.scdn.co/mp3-preview/b7d293a5ff7f61683b718d3a911bdd856714018b?cid=9fdb4c15be18472b830ea3f6f9779309,9,Robin Guthrie,https://i.scdn.co/image/ab67616d00001e0267224923e3c3b0a18684e480,https://open.spotify.com/track/03zhFeVXRdiugsURvkKmih,0.93,0.166,207054,0.138,0.937,11,0.104,-20.459,0.0358,79.995,4,0.0512,707.1419931057751,9.0,3770.0
2tyINhVI82L3vA0uirBlgY,new-age,Over clouds,19,https://p.scdn.co/mp3-preview/1c102320b70e776867cefed20e96b731ce498eb3?cid=9fdb4c15be18472b830ea3f6f9779309,11,vidnaObmana,https://i.scdn.co/image/ab67616d00001e026a64adfa9057c638ff1650bf,https://open.spotify.com/track/2tyINhVI82L3vA0uirBlgY,0.951,0.172,304933,0.158,0.868,1,0.107,-26.581,0.0421,123.931,4,0.0382,701.5318530742501,10.0,3769.0
4hCjE4EgQq3SR2TlPQ3pCm,new-age,Ruins Of The Past,17,https://p.scdn.co/mp3-preview/aece3b9862f2d7913bb728571706f21d09f48575?cid=9fdb4c15be18472b830ea3f6f9779309,2,Erik Wøllo,https://i.scdn.co/image/ab67616d00001e02dca292609e4e10797a5fda2a,https://open.spotify.com/track/4hCjE4EgQq3SR2TlPQ3pCm,0.979,0.157,454355,0.108,0.946,7,0.101,-21.086,0.0344,88.928,4,0.0457,697.2174165495395,11.0,3768.0
3VjNZTbV8uYJRzkzDFQumg,new-age,The Moor,10,https://p.scdn.co/mp3-preview/fc5a4c347217a80992fce79221d391756257ccf7?cid=9fdb4c15be18472b830ea3f6f9779309,3,Jeff Greinke,https://i.scdn.co/image/ab67616d00001e0227cb518b32175d01c3ba96ae,https://open.spotify.com/track/3VjNZTbV8uYJRzkzDFQumg,0.916,0.14800000000000002,413933,0.103,0.8190000000000001,7,0.135,-32.169000000000004,0.0505,72.839,4,0.0378,681.1522568587064,12.0,3767.0
6GYOJo3YeYRs5Rw8mFuDGZ,new-age,Aludra 2,9,https://p.scdn.co/mp3-preview/73049fcc18658e48f05d4eadba98b36615f185af?cid=9fdb4c15be18472b830ea3f6f9779309,3,Oophoi,https://i.scdn.co/image/ab67616d00001e0297cfc520d8e0f10bdf4fc599,https://open.spotify.com/track/6GYOJo3YeYRs5Rw8mFuDGZ,0.927,0.179,932427,0.165,0.904,6,0.0354,-29.978,0.0615,71.957,4,0.0387,679.3762784277525,13.0,3766.0
7hQRQMiFa1b7aNR3SJMcQO,new-age,Amaté Adea,32,,7,Karl Jenkins,https://i.scdn.co/image/ab67616d00001e028ae5774a36eaa0056dd4ece0,https://open.spotify.com/track/7hQRQMiFa1b7aNR3SJMcQO,0.929,0.128,320760,0.117,0.34700000000000003,2,0.0884,-19.835,0.0371,98.061,3,0.0394,672.4546785625375,14.0,3765.0
496N5ynfUJPCC1rHAfwfV8,new-age,Hymn,33,,9,Karl Jenkins,https://i.scdn.co/image/ab67616d00001e028ae5774a36eaa0056dd4ece0,https://open.spotify.com/track/496N5ynfUJPCC1rHAfwfV8,0.951,0.189,160120,0.0694,0.045,5,0.131,-20.172,0.0399,95.167,4,0.0399,666.249905471709,15.0,3764.0
3DnYVJJH3H6P7Svy4x2DYT,new-age,Kindred Spirit,52,https://p.scdn.co/mp3-preview/f686667d6b5d444614cdae6893e91a06560de7b9?cid=9fdb4c15be18472b830ea3f6f9779309,1,Deuter,https://i.scdn.co/image/ab67616d00001e021ec6109af0e714c931219090,https://open.spotify.com/track/3DnYVJJH3H6P7Svy4x2DYT,0.98,0.182,499267,0.0824,0.903,4,0.113,-22.399,0.0468,151.08700000000005,4,0.0389,665.0396355499176,16.0,3763.0
2XDBpY6zQmakNnA3eyHPeE,new-age,Song of the Deep,33,https://p.scdn.co/mp3-preview/b1458e14542228088d749fe43a1fa7ded2bfbc09?cid=9fdb4c15be18472b830ea3f6f9779309,2,Kamal,https://i.scdn.co/image/ab67616d00001e02819fe414349c6cb8634614eb,https://open.spotify.com/track/2XDBpY6zQmakNnA3eyHPeE,0.944,0.189,443867,0.152,0.42,1,0.085,-18.206,0.0379,60.394,3,0.0374,663.6635752609155,17.0,3762.0
2B8qLOc2jMNfSGu0K6LVyz,new-age,Spring Song,25,,4,Michael Jones,https://i.scdn.co/image/ab67616d00001e0244d7eef9e3a4369dafc38bc6,https://open.spotify.com/track/2B8qLOc2jMNfSGu0K6LVyz,0.922,0.179,304827,0.0697,0.8740000000000001,2,0.0943,-20.956,0.037000000000000005,85.616,4,0.0387,662.2070368044859,18.0,3761.0
6MEgIFQ4bBfKe44y6yjUaQ,new-age,"Letting Go, Pt. 1",49,https://p.scdn.co/mp3-preview/e6a005d0eba2f49e60591b3f03724e2b474e0914?cid=9fdb4c15be18472b830ea3f6f9779309,2,Liquid Mind,https://i.scdn.co/image/ab67616d00001e0234626cb50440dc6a2b1f8950,https://open.spotify.com/track/6MEgIFQ4bBfKe44y6yjUaQ,0.931,0.16899999999999998,275741,0.132,0.887,0,0.0937,-23.196,0.0459,114.19,4,0.0349,657.9039373790505,19.0,3760.0
44Fh04vuYZSozjwHwBcIOg,new-age,Sine Tempore - Pt. I,13,https://p.scdn.co/mp3-preview/6d36783df96be3903d4197d9f5a96de68f772106?cid=9fdb4c15be18472b830ea3f6f9779309,1,Alio Die,https://i.scdn.co/image/ab67616d00001e02486ec19ae21b7b17593e80c5,https://open.spotify.com/track/44Fh04vuYZSozjwHwBcIOg,0.977,0.16899999999999998,1003493,0.0919,0.91,2,0.0765,-24.954,0.0381,74.472,4,0.0381,657.6525648823495,20.0,3759.0
39VniinfJDJ2xceW1rPgSe,new-age,"Reiki Chants-""Sei-He-Ki""",45,https://p.scdn.co/mp3-preview/f2efdbe58a79171eca8ae1ff2c5a3fecb0a581ab?cid=9fdb4c15be18472b830ea3f6f9779309,6,Jonathan Goldman,https://i.scdn.co/image/ab67616d00001e022cf6f811c92827e0a2af597b,https://open.spotify.com/track/39VniinfJDJ2xceW1rPgSe,0.915,0.152,368347,0.101,0.8640000000000001,9,0.0827,-19.861,0.041,55.57100000000001,4,0.0366,648.1128932165277,21.0,3758.0
2MiJOG0xOSwY4vp2b3zzv8,new-age,Segnung,23,https://p.scdn.co/mp3-preview/a74838297d85d4076d1b72a2f34a06a55e5d4e28?cid=9fdb4c15be18472b830ea3f6f9779309,5,Popol Vuh,https://i.scdn.co/image/ab67616d00001e02093cc34f44acaba4b489f149,https://open.spotify.com/track/2MiJOG0xOSwY4vp2b3zzv8,0.947,0.201,367733,0.146,0.8220000000000001,6,0.0777,-16.172,0.0355,96.6,4,0.0388,646.9862362793792,22.0,3757.0
56iQraMli4lITnxgcd0tFx,new-age,For believing (you were a strange beautiful unearthly creature from a faraway planet),9,https://p.scdn.co/mp3-preview/bd375bf94085f2e53b350cb1a2b5c4d507e9e4a2?cid=9fdb4c15be18472b830ea3f6f9779309,4,David Toop,https://i.scdn.co/image/ab67616d00001e02b58a5db94de80a42eb6f7c56,https://open.spotify.com/track/56iQraMli4lITnxgcd0tFx,0.9,0.16899999999999998,128448,0.106,0.802,3,0.111,-26.355,0.0363,84.521,3,0.0393,640.212826339511,23.0,3756.0
5ZLI4U3pOYrm7NTLR0l06m,new-age,Organics,31,,15,Michael Stearns,https://i.scdn.co/image/ab67616d00001e022474985d1c526cc800905812,https://open.spotify.com/track/5ZLI4U3pOYrm7NTLR0l06m,0.964,0.16399999999999998,183475,0.0858,0.98,7,0.0869,-22.448,0.0422,130.787,3,0.0367,638.483506440013,24.0,3755.0
6RuXSWAJPH03M7CVzU2V2k,new-age,Desires Are Already Memories,37,https://p.scdn.co/mp3-preview/9a20a29a0514b79e52b740c7961084781a54fa8a?cid=9fdb4c15be18472b830ea3f6f9779309,12,A Winged Victory for the Sullen,https://i.scdn.co/image/ab67616d00001e0201def73abc557ce71296d7fa,https://open.spotify.com/track/6RuXSWAJPH03M7CVzU2V2k,0.921,0.177,235827,0.0744,0.918,6,0.081,-25.05,0.0394,140.024,3,0.0371,636.0433124408387,25.0,3754.0
0ZOzkZtLe0d40VKqWItFVw,new-age,Bí Thusa Mo Shúile,48,https://p.scdn.co/mp3-preview/a4db3dbf80c1cf5cbb2873e7545dd96180316fa0?cid=9fdb4c15be18472b830ea3f6f9779309,3,2002,https://i.scdn.co/image/ab67616d00001e0238212aeef4df2e0f93d88e99,https://open.spotify.com/track/0ZOzkZtLe0d40VKqWItFVw,0.963,0.165,241600,0.174,0.4970000000000001,3,0.117,-15.965,0.0404,129.931,3,0.0394,623.9319903439439,26.0,3753.0
7EVB8TpxzTh6llHIcPANAi,new-age,Last Night The Moon Came,39,,4,Jon Hassell,https://i.scdn.co/image/ab67616d00001e025995450437a5149a1d8c6dae,https://open.spotify.com/track/7EVB8TpxzTh6llHIcPANAi,0.95,0.157,675853,0.0786,0.931,4,0.0639,-25.886,0.0351,79.99,4,0.0356,623.5380962546749,27.0,3752.0
1H3mKSbxD87iKRj3aIg9nE,new-age,Perfect Day,49,,6,Miriam Stockley,https://i.scdn.co/image/ab67616d00001e0200df382f50555ecb96907c85,https://open.spotify.com/track/1H3mKSbxD87iKRj3aIg9nE,0.914,0.17,200973,0.174,0.0309,2,0.0635,-16.938,0.0358,170.16299999999995,3,0.0394,622.1496649041169,28.0,3751.0
1VdLx9UJZgYrH5v2YvhG4g,new-age,More Colours,27,,1,Eberhard Weber,https://i.scdn.co/image/ab67616d00001e029d7db0617013061b61eb2762,https://open.spotify.com/track/1VdLx9UJZgYrH5v2YvhG4g,0.968,0.156,401707,0.0845,0.8759999999999999,2,0.118,-20.632,0.0329,85.545,3,0.0369,620.6787932265262,29.0,3750.0
1FG0qfA1qZU0bDeYPDiF9r,new-age,Daniel and Ruth,28,https://p.scdn.co/mp3-preview/9e9ee6d4db7396e86a6e85c2b9671c73a96b6692?cid=9fdb4c15be18472b830ea3f6f9779309,18,Mark Isham,https://i.scdn.co/image/ab67616d00001e0299c7a542972c7db3fb2faa68,https://open.spotify.com/track/1FG0qfA1qZU0bDeYPDiF9r,0.974,0.189,130200,0.0667,0.967,7,0.0902,-21.711,0.0395,119.713,3,0.0388,616.2236709025816,30.0,3749.0
1N6Tu4wAygybQVFUglyMyt,new-age,Whale Dreaming,29,https://p.scdn.co/mp3-preview/59b61539ee35f4095da3a58e49feea5d3cdca173?cid=9fdb4c15be18472b830ea3f6f9779309,1,Kamal,https://i.scdn.co/image/ab67616d00001e02819fe414349c6cb8634614eb,https://open.spotify.com/track/1N6Tu4wAygybQVFUglyMyt,0.96,0.196,663627,0.156,0.162,11,0.9,-20.183,0.036000000000000004,113.045,5,0.0391,616.1311709105357,31.0,3748.0
5HHhuQzXz013DzFKrgUmhE,new-age,Heaven's Window,49,https://p.scdn.co/mp3-preview/8070eca4d54f23cdd1fd726f8e1a5e95c4a04883?cid=9fdb4c15be18472b830ea3f6f9779309,1,Peter Kater,https://i.scdn.co/image/ab67616d00001e023e4fcdca26bc977058b0b67e,https://open.spotify.com/track/5HHhuQzXz013DzFKrgUmhE,0.929,0.189,480026,0.0543,0.944,3,0.119,-19.207,0.0375,69.653,4,0.0398,608.1164933457002,32.0,3747.0
46bPfBprMzMoowJAblReGF,new-age,Alifib,23,https://p.scdn.co/mp3-preview/c78e64b814a26954098bf43e0c28952c6eeee3ce?cid=9fdb4c15be18472b830ea3f6f9779309,4,Robert Wyatt,https://i.scdn.co/image/ab67616d00001e02c5a8e9d72bd77e42e1601f6a,https://open.spotify.com/track/46bPfBprMzMoowJAblReGF,0.946,0.205,415307,0.0723,0.0463,11,0.105,-23.161,0.0363,139.623,3,0.0473,604.4918060119919,33.0,3746.0
4ByzcFLHBtQBlHfEmukDCe,new-age,Chant from a Holy Book,33,,1,G. I. Gurdjieff,https://i.scdn.co/image/ab67616d00001e02c3167a02356fe5a05ee440d7,https://open.spotify.com/track/4ByzcFLHBtQBlHfEmukDCe,0.982,0.173,312920,0.0405,0.879,0,0.0788,-26.157,0.0425,171.27900000000002,4,0.0399,598.4714883885421,34.0,3745.0
