Pete Seeger
Joan Baez
Peter, Paul and Mary
Lucinda Williams
Townes Van Zandt
Robin & Linda Williams
Bert Jansch
John Fahey
Loudon Wainwright III
Phil Ochs
The Kingston Trio
The Weavers
Gordon Lightfoot
Doc Watson
Odetta
Chad Mitchell
Christine Lavin
Norman Blake
Judy Collins
Patty Larkin
Steve Goodman
Buffy Sainte-Marie
The New Christy Minstrels
Steeleye Span
Woody Guthrie
Arlo Guthrie
Leo Kottke
Ramblin' Jack Elliott
Tom Paxton
David Bromberg
Dave Van Ronk
John Martyn
Eric Andersen
Kate & Anna McGarrigle
Bill Morrissey
Elizabeth Cotten
Mike Seeger
Dock Boggs
Cisco Houston
Tom Rush
Katy Moffatt
Flaco Jiménez
Bob Gibson
Tish Hinojosa
Burl Ives
John McCutcheon
Greg Brown
"Spider" John Koerner
