Bob Marley
Jimmy Cliff
Lee "Scratch" Perry
Desmond Dekker
Toots & the Maytals
The Wailers
Horace Andy
Ziggy Marley
Sly & Robbie
Burning Spear
Mad Professor
Buju Banton
Gregory Isaacs
Dennis Brown
Black Uhuru
Peter Tosh
Freddie McGregor
Sugar Minott
Yellowman
UB40
Culture
The Skatalites
Barrington Levy
Jackie Mittoo
Bob Marley & the Wailers
Shabba Ranks
Bad Brains
Mad Cobra
Shaggy
H.R.
The Wailing Souls
Inner Circle
Maxi Priest
Third World
Bounty Killer
Aswad
Alpha Blondy
Ini Kamoze
Judy Mowatt
Eddy Grant
The Itals
Mikey Dread
Steel Pulse
J.J. Johnson
Chaka Demus & Pliers
Linton Kwesi Johnson
Junior Murvin
Bill Laswell
